query	k__Animalia;p__location_output
3ceb3449886b8bbca1b34ec7302f7fce	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Coleophoridae;g__Coleophora
3cf5b5e81f29df303ae2e209806b6e03	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Psychodidae;g__Lutzomyia;s__Lutzomyia longipalpis
3cf7b699194493213acaf79223786bd7	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gracillariidae;g__Caloptilia
3cf99417a7c3a80213683649d0f5c953	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Chrysomelidae;g__Paria;s__Paria fragariae
3cfeeb16701da023d483c4bca6e37a3e	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;g__Rhipidia
3d016e9fd888d180a5145317431a0387	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Chironomus
3d034b43f708989774d9b7422771ad40	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Tipulidae;g__Dolichopeza;s__Dolichopeza obscura
3d0782caeb4fac3b0484ba13057299b9	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Ptilodactylidae;g__Ptilodactyla;s__Ptilodactyla carinata
3d24a23cc095d85b3652aa1fa8cabd99	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Rhagionidae;g__Chrysopilus;s__Chrysopilus quadratus
3d346fb79e792fd17ab76722ed86f7fd	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chaoboridae;g__Chaoborus;s__Chaoborus punctipennis
3d356823056eaea90ff62d24ad35491e	k__Animalia;p__Arthropoda;c__Insecta;o__Megaloptera;f__Corydalidae;g__Chauliodes;s__Chauliodes pectinicornis
3d37834bc007b67db4728bcb53c5381b	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
3d3861b2a803782daec3c00dad69aef4	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;g__Udea
3d38b263230e977120406def5221c445	k__Animalia;p__Arthropoda;c__Insecta;o__Trichoptera;f__Hydropsychidae;g__Hydropsyche;s__Hydropsyche slossonae
3d49b20fa1bace3c83b8c0d38f97e981	k__Animalia;p__Arthropoda;c__Insecta
3d4c42e7fc541a4704ba2fffdde04dee	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Mycetophilidae;g__Docosia
3d4cefb336d2dbc5f7b5bb9c3e1495c0	k__Animalia;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Heptageniidae;g__Stenacron;s__Stenacron interpunctatum
3d5dd638f8b0f3f453333dcbad923b18	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;g__Helius;s__Helius flavipes
3d6187009733cfdae3b40c8db9e7b3c9	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;g__Antocha
3d64e4294a8eade84875804bbd7ddd43	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Orthocladius
3d6b53abc2cbdda99bb79dc3d34306b2	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;g__Cheilotrichia;s__Cheilotrichia stigmatica
3d7d7ebe2de5e15d733444fa83da4245	k__Animalia;p__Arthropoda;c__Insecta
3d82b944d3666060e11e7073e025a9ec	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;g__Antocha
3d893b07c316e98a09125743d53ad007	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Orthocladius
3d8e1e6b516082c52f6a0527ba35dfe9	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gracillariidae;g__Caloptilia
3d8ed5032f3278a78cb4a0af4ceb4c9e	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
3d973e42977a3af179032b1ecb056937	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
3d98d9abc127f8fed195f82fd6bff997	k__Animalia;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Ephemerellidae;g__Eurylophella
3d9cb58e5f2829771c6b4ff1edc47572	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;g__Idia
3da27aef787e5a46387e4f0525f58fa5	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Psychodidae;g__Lutzomyia;s__Lutzomyia longipalpis
3da38b396176f2ca5adc631966b8de98	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
3da82b85c91c01dd9c43c1b2fc250ddc	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chaoboridae;g__Chaoborus;s__Chaoborus punctipennis
3dac34fcaa53c700025da11ab19c13d5	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
3daf00f3f40f670ba221e7c4bb6bb157	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Philodromidae;g__Philodromus;s__Philodromus rufus
3dafe622aa1d3b4d8ee42f343a9d56bc	k__Animalia;p__Arthropoda;c__Insecta
3db34ebdcd9043fc24a8c395503adf03	k__Animalia;p__Arthropoda;c__Insecta
3db37f565405418eb940b8fbd07869bc	k__Animalia;p__Arthropoda;c__Insecta
3dbc7dfbe9d6e34c103ba1917251a882	k__Animalia;p__Arthropoda;c__Insecta;o__Psocodea;f__Psocidae;g__Metylophorus;s__Metylophorus novaescotiae
3dc3ab5f6b0d5da98608f7cfeca6e4cf	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
3dc3fa8d1e1b78192c1cf26f50a08efd	k__Animalia;p__Arthropoda;c__Insecta
3dc7870ba168ae7dc1e62624f70ae1f3	k__Animalia;p__Arthropoda;c__Insecta
3dce1fa2f6ac76ef57e492a1d69c82bd	k__Animalia;p__Arthropoda;c__Insecta;o__Hemiptera;f__Pentatomidae;g__Euschistus;s__Euschistus tristigmus
3dcea6f0b5cc1678686dff4d2b2b15b1	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;g__Erioptera
3dd87a8c0602f61e5736b8f4da294101	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
3ddd28d070b1776983ebdbca06f7a084	k__Animalia;p__Arthropoda;c__Insecta;o__Psocodea;f__Psocidae;g__Metylophorus;s__Metylophorus novaescotiae
3de2a512963ab524d6e47e44e2defd3b	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera
3df1efe80ee13ef63491ec8dcfeeba8a	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;g__Trichotichnus;s__Trichotichnus vulpeculus
3df70b036f4b380c9938f1f231c8260c	k__Animalia;p__Arthropoda;c__Arachnida;o__Trombidiformes;f__Pionidae;g__Forelia
3dfedf93e6ff09da9649311e2d24ce06	k__Animalia;p__Arthropoda;c__Insecta
3e0291b54f1278e201ac3755ce772926	k__Animalia;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Ephemerellidae;g__Eurylophella;s__Eurylophella doris
3e07940d273ac010d4b5e5ae6348aaf1	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;g__Antocha
3e171ce77b6c033070ec3fa9588720f4	k__Animalia;p__Arthropoda;c__Insecta
3e1dd6c06ad5f0810fae53fcab2c36ad	k__Animalia;p__Arthropoda;c__Arachnida;o__Trombidiformes;f__Pionidae;g__Piona
3e28aa7e136cd96ab8a7b6fdcaa7fda3	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera
3e2c0fccb4c354bc351758add4b1e50d	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Tabanidae
3e38c1d7b513d144e4aad5b3e48250f7	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
3e3fa42b5ba84cf8ccca132fe9a2968e	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
3e581649cf3838dd1e6804263bb3e587	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera
3e5a5d8b2cc17de7c96c4cc7d3894322	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Tortricidae;g__Acleris
3e6064649848a2be89d69a93af82a329	k__Animalia;p__Arthropoda;c__Arachnida;o__Trombidiformes;f__Pionidae;g__Piona
3e6f61cda55cfa7ec62d19d5e3020af9	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gracillariidae;g__Caloptilia;s__Caloptilia alnivorella
3e740a8e9fa0608582b93f6db9cfde98	k__Animalia;p__Arthropoda;c__Insecta
3e904c3e997be4ce3152266e7a6b7382	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Dolichopodidae;g__Chrysotus
3ec6625bc13bc2927b8c854eb58ae8bf	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Tipulidae;g__Tipula
3eceacc106295f1a66f2e4d9c105d96e	k__Animalia;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Heptageniidae;g__Stenacron;s__Stenacron interpunctatum
3ed61680443c06eeef11f8adc6817752	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Dicrotendipes;s__Dicrotendipes tritomus
3ed7466fde376ba19c9c1f5d1f7f45ab	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Tachinidae;g__Cryptomeigenia
3ed8b6a4ded8120378fd1845dc0ca415	k__Animalia;p__Arthropoda;c__Insecta
3ee689a12890a67c5949773bb5abccad	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
3efc6e2b5d19aa67d45829815ef5d7b1	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Cerambycidae;g__Sternidius
3f079a0ceda05dfed561f5361bb2eea1	k__Animalia;p__Arthropoda;c__Insecta;o__Orthoptera;f__Tettigoniidae;g__Montana;s__Montana schereri
3f0827bfc7d3170a6bcaf2980291af62	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Xanthorhoe;s__Xanthorhoe lacustrata
3f0e17f161c265667fc4250257b7bd2d	k__Animalia;p__Arthropoda;c__Insecta;o__Trichoptera;f__Hydropsychidae;g__Hydropsyche;s__Hydropsyche betteni
3f0ea9fb0de0deab3e0a45cdd0aaf782	k__Animalia;p__Arthropoda;c__Insecta
3f18dff6c03bc15dcdf81bd01b3daeb6	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Tachinidae;g__Lypha
3f1e15d4c7e83f85eb4daa64cba51ff4	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
3f2a0d1ce8dd43f02188256ca05c8147	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera
3f2e688e0f5e81a41835c47c80c8db78	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
3f309c57e3f6ca69d6fdc5f8933834da	k__Animalia;p__Arthropoda;c__Insecta
3f326c5ef32ef1d5c5dcfe6b58b596e9	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Psectrocladius;s__Psectrocladius sordidellus
3f35b486bd260c7f9a73274bd94730fb	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Culicidae
3f39feace0d672cf3a4bd32d153d9704	k__Animalia;p__Arthropoda;c__Insecta;o__Psocodea;f__Psocidae;g__Metylophorus;s__Metylophorus novaescotiae
3f430e399ee707e554a24cb5c3476c4c	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae;g__Lathrobium;s__Lathrobium simile
3f4d6847f501bcb0c3eadbbf9bcf8d67	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Tineidae;g__Acrolophus;s__Acrolophus BioLep447
3f511cbd18e4fbc22437a98472e59487	k__Animalia;p__Arthropoda;c__Insecta
3f51496909f3ca38c07fbb2a39615e8e	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Clubionidae;g__Clubiona;s__Clubiona pygmaea
3f58384d18891cf51ec50f864625d00d	k__Animalia;p__Arthropoda;c__Insecta
3f69e6e4da3738c09c908c42784ce65f	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
3f70ccc7253ceaf941966f039b77f68a	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera
3f75a20e6e9a2d1e8df97fbb313712b8	k__Animalia;p__Arthropoda;c__Insecta
3f783da8575550ed07d135b1a1292fa1	k__Animalia;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Vespidae;g__Polybia;s__Polybia diguetana
3f7a0049fd76770cd60d24e3a9ff85dc	k__Animalia;p__Arthropoda;c__Insecta
3f7d6777883cd33510a009607ec2c695	k__Animalia;p__Arthropoda;c__Insecta
3f81ff41f9ec08bdb779e407adfa6ffd	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Chironomus
3f8d305499aa0701e889a14571933da2	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Dicrotendipes;s__Dicrotendipes modestus
3f96ad4fbf9fb7cbc109daac7203cb59	k__Animalia;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Caenidae;g__Caenis
3fa2314b9a3852b492647dd2ba47feba	k__Animalia;p__Arthropoda;c__Insecta
3fb2816467c03eb9fdaeeb790ff669b2	k__Animalia;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Ephemerellidae;g__Eurylophella;s__Eurylophella doris
3fbbef42f8c3180726b056def295ea39	k__Animalia;p__Arthropoda;c__Arachnida;o__Opiliones;f__Phalangiidae;g__Phalangium;s__Phalangium opilio
3fe4a0b3830774147f3c6611c5463a51	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera
3fecef901ec7632a14c83c8511215fa4	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
3fee4466ce9c728cc1037f0305af0e23	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chaoboridae;g__Chaoborus;s__Chaoborus punctipennis
3fee7fb17086c7c2ad9da565f58dce66	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Dolichopodidae;g__Gymnopternus
3ff9bec0145b049fbd48b70e3dc1089b	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Tachinidae
3ff9d780b8213529a8444a5c280b07dd	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Psilocorsis
3ffbb6d32d95542bcde8052d774dbc9d	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Dicrotendipes;s__Dicrotendipes tritomus
400099428e3ccb5fc04da2202b0b8b09	k__Animalia;p__Arthropoda;c__Insecta;o__Orthoptera;f__Tettigoniidae;g__Scudderia
40047f1c4fdec072669574f8da147f16	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;g__Metalimnobia
4005cfdb8675834e40b98aa7e79c02ed	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Scarabaeidae;g__Phyllophaga;s__Phyllophaga anxia
4006021f9621c2f2528fc84655fc2f97	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;g__Erioptera
4008a2a3c4e10c875258447d2bb5d3de	k__Animalia;p__Arthropoda;c__Insecta
4009a7a67be472ae1c921676b2ccafb7	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Erebidae;g__Hyphantria;s__Hyphantria cunea
401a01464c58cab85b4f0020e7ae14a7	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
4026ea6063a31be8379fed12e7d1ae37	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
402b88d9e3175c14476b8348c6037e7c	k__Animalia;p__Arthropoda;c__Insecta
402c22f69c47424f1c33a8551a829529	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;g__Cheilotrichia;s__Cheilotrichia stigmatica
403c92904eb4e9e01a41c86ec3e87a5d	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Elateridae;g__Melanotus;s__Melanotus hyslopi
404eec55cc3ae556a70c20386ba6ef3e	k__Animalia;p__Arthropoda;c__Insecta
404f496a98fae0d7799f04e1cf4f463d	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Tortricidae;g__Spilonota;s__Spilonota ocellana
4051c7e1067a54c84168b7da673ed632	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chaoboridae;g__Chaoborus;s__Chaoborus punctipennis
40598713f904e1666335c68ed8881e33	k__Animalia;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Caenidae;g__Caenis
406451f6312e57f8c264a94242b049e6	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Chironomus
40646a88234e0bae2949124b990b4480	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
406f4b54f99147f7a2ce0b67bc157ae3	k__Animalia;p__Arthropoda;c__Insecta;o__Trichoptera;f__Hydropsychidae;g__Cheumatopsyche
40774ffbb56abd30d83ed8ba6ebde1ab	k__Animalia;p__Arthropoda;c__Arachnida;o__Araneae;f__Lycosidae
40934c8a498cc922c628e5fb19088ed7	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Ptilodactylidae;g__Ptilodactyla
409a63e0edcd69563cfbee39bbd55673	k__Animalia;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae;g__Gyponana
409b26481833db67651aaf6319b63293	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;g__Erioptera
40a988ee66f2d5ce36ab2df83645188f	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Dytiscidae;g__Ilybius;s__Ilybius biguttulus
40b1c29d0f62733a0e33e848ea874208	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
40b530e7772b1fe68b266cd68f96bcf5	k__Animalia;p__Arthropoda;c__Insecta;o__Trichoptera;f__Philopotamidae;g__Chimarra;s__Chimarra obscura
40c17a87e7c53cc08c86d7606d9a6a6a	k__Animalia;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Heptageniidae;g__Stenacron
40c38b4fa02576a5f64750bd1df7e6a9	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Drosophilidae;g__Drosophila
40cc45658413d4abb781b19722e2240e	k__Animalia;p__Arthropoda;c__Insecta
40d7413422bf4c5fc259872702470255	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera
40eb03bafee0545c008ced670ca861ed	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Tineidae;g__Homosetia;s__Homosetia tricingulatella
40f03aa4d34ee34eb6b95e9acc2d621b	k__Animalia;p__Arthropoda;c__Insecta;o__Trichoptera;f__Hydropsychidae;g__Hydropsyche;s__Hydropsyche morosa
40f1a2a69214bfae24803d9ca3330f8f	k__Animalia;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Caenidae;g__Caenis
41163d5044fb8ec43a7bb8b920fbc04b	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae;g__Corynoptera
411c2b4941ca3eb823384dda27fca6d9	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
411ceccfab41768d08dbcfa91cf80661	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Lucanidae;g__Ceruchus;s__Ceruchus piceus
411d0ecefc3940cb9d6137388961b037	k__Animalia;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Caenidae;g__Caenis
4123fc8df4533a418e6940afec290449	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;g__Cheilotrichia;s__Cheilotrichia stigmatica
4126095120c3f5e3db3660cf5ee09b50	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
412eeff80c1cec1ecb4d671ba970595e	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Tachinidae;g__Goniocera;s__Goniocera io
4138667e9ee172b723f32db1f8cc5c74	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Notodontidae;g__Polypoetes;s__Polypoetes wagneri
41530f5a825080bac435866c7e7e0944	k__Animalia;p__Arthropoda;c__Insecta
415b1dc8ed04970dfd55176646a9332d	k__Animalia;p__Arthropoda;c__Insecta
415f54ee9da7a70b7db8aef51388bfd9	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Gelechiidae;g__Coleotechnites
41781123b500c65b0ba1487ff9bd7790	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Elateridae;g__Melanotus;s__Melanotus hyslopi
4180120fa6fac2ee6c27c7f61955e140	k__Animalia;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae;g__Oncopsis
41801d9ad31df1487e5a59192c7eec0f	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
41826dfcefba0fcc3a41485c941a5ed9	k__Animalia;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae;g__Gyponana
4184e67449854608252fcb221f172b18	k__Animalia;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Ichneumonidae;g__Pimpla
41872e53074cb9c2153ea62f2d610c3d	k__Animalia;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Heptageniidae;g__Maccaffertium;s__Maccaffertium smithae
4187e64f1422509ba7a118c324312a19	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Elateridae;g__Melanotus;s__Melanotus similis
41937319dcd67e4972915e5476bda9db	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;g__Epiphragma
41953d320e74cddad1129535cf43f7e0	k__Animalia;p__Arthropoda;c__Insecta
419890a76b9cd011cb8c698cba51adb8	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Cricotopus
41adb784015f5a5353d73b1d1b4a731c	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Depressariidae;g__Psilocorsis
41b42bfdabce82a853e3314aed765902	k__Animalia;p__Arthropoda;c__Insecta
41b57adee44d76025a63dd679930d15b	k__Animalia;p__Arthropoda;c__Insecta;o__Megaloptera;f__Corydalidae;g__Chauliodes;s__Chauliodes pectinicornis
41b61d5678854e897b654c86d4b0c830	k__Animalia;p__Arthropoda;c__Insecta
41b630d3ffe237071c813d36aeb01f70	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera
41bc87919f2295b73b42fec370dc7809	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Tachinidae;g__Blepharipa;s__Blepharipa albicauda
41be7c33478d9c2388d13ad17b60c5fa	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Geometridae;g__Nepheloleuca;s__Nepheloleuca illiturata
41bf95ea004caf090f7877e8ee3bcef4	k__Animalia;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Ichneumonidae;g__Enicospilus
41c217980b8774cd8a1f72996d5cb8ba	k__Animalia;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Ephemeridae;g__Hexagenia;s__Hexagenia limbata
41c38d311a5baef794f7682289a7d866	k__Animalia;p__Arthropoda;c__Insecta;o__Hemiptera;f__Aphididae
41c405e6236cccb0a6ed4727877f73dc	k__Animalia;p__Arthropoda;c__Insecta
41cfedc7cf4ba9c85178f576a795f948	k__Animalia;p__Arthropoda;c__Insecta
41d38a4dbc426fa556cb61eb861004dd	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Anthomyiidae
41e6c1c2fdea57df8624811b3be0433e	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Tipulidae;g__Nephrotoma;s__Nephrotoma ferruginea
41f5ce15a39d3de725cd07571b031544	k__Animalia;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Ichneumonidae;g__Euceros
41fe577cbdd31086602876f3a95f3778	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Microtendipes
4200083ea5f678442e6a5cbc9c721810	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
42050d45d89e1b94452f989b44dd234e	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Scarabaeidae;g__Phyllophaga;s__Phyllophaga hirticula
421baf515d595855f7a80a1043c5cb9c	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Ceratopogonidae;g__Stilobezzia;s__Stilobezzia antennalis
421cbd102ba4af742b8d5b2ce1901780	k__Animalia;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae;g__Gyponana
4224aac41c49d874475fa524bf1f4361	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
42295973b152631db72951dc398b8fe2	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Elateridae;g__Melanotus;s__Melanotus hyslopi
422a43d8b958c97a916077ab2827d879	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
422d855697703deb9c25c5898c0ef067	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Elateridae;g__Melanotus;s__Melanotus hyslopi
4231e7f75124469821b180dc051c21ab	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Phaenopsectra
423281d88b39aa0b29df24248fddde0f	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Parachironomus
423e0e0eb50d3fe33048d63c40292528	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera
424a55846cf8d3623625d0d52cc73c85	k__Animalia;p__Arthropoda;c__Insecta
4252f8f38a22a8c76dff00c0ffa70362	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Elateridae;g__Athous;s__Athous brightwelli
425c07fbc13a3424efb82f81db2d03d7	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Elateridae;g__Melanotus;s__Melanotus hyslopi
4264eec275224f521ea480d7c8417a11	k__Animalia;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Ephemeridae;g__Hexagenia;s__Hexagenia limbata
4276499a339a9694a2de6b4f8ed861d4	k__Animalia;p__Arthropoda;c__Insecta
427c0412d08916e5eba5d5e6107050ae	k__Animalia;p__Arthropoda
427e3409d2c9d05c384c3a4160052dd1	k__Animalia;p__Arthropoda;c__Insecta;o__Hemiptera;f__Miridae;g__Phytocoris
4289db8f0df472f64e8b47c1155da958	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Tortricidae;g__Epinotia;s__Epinotia solicitana
4298e09f59a8131bb906e44964a0b5f8	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Procladius
429cd6b36f3cbf44f41fa6c456253bdc	k__Animalia;p__Arthropoda;c__Insecta;o__Psocodea;f__Psocidae;g__Metylophorus;s__Metylophorus novaescotiae
42a023e923bc0fc2230badaff0bd0785	k__Animalia;p__Arthropoda;c__Insecta;o__Trichoptera;f__Limnephilidae;g__Nemotaulius
42a3ab35d4770f1bc44611c3c988a46b	k__Animalia;p__Arthropoda;c__Insecta
42aa715f05cba52a0736826bfe77fefa	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
42b7e49a9512ad2cd374c52d6f3f6a78	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Pseudochironomus;s__Pseudochironomus sp. JM-2006
42c3dcb11bcc46a97e8ffdbd8ae45319	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;g__Cheilotrichia;s__Cheilotrichia stigmatica
42dcb0e4c6f9d3d96cfcbdc3b559d274	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
42eae55f0cf56037ce55c52be69f3aa1	k__Animalia;p__Arthropoda;c__Insecta;o__Trichoptera;f__Leptoceridae;g__Mystacides;s__Mystacides sepulchralis
