query	k__Animalia;p__location_output
015cf5a5d7bc64a1fb4f4c7e34a3b023	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Elateridae;g__Melanotus
016079b272cfc6df55347707effec450	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Tanytarsus;s__Tanytarsus mendax
0186366474a5bfdcc9d37b4d8fc32c5e	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
0194efa493df4c8f681431a5571b7743	k__Animalia;p__Arthropoda;c__Insecta
0198ef96b4c38e1c7144846c7ddc2a27	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Limoniidae;g__Geranomyia
01999956ef9ab7deb32d380a9832ba2c	k__Animalia;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Heptageniidae;g__Leucrocuta;s__Leucrocuta maculipennis
01a2d52881e29a93c1dfc57380ddf278	k__Animalia;p__Arthropoda;c__Insecta;o__Coleoptera;f__Scarabaeidae;g__Euphoria;s__Euphoria fulgida
01a569138104eb4670a82b55c35035c3	k__Animalia;p__Arthropoda;c__Insecta
01a5a645e777c7bb01e8dc2319b0a547	k__Animalia;p__Arthropoda;c__Insecta
01ab8413d4c2751070fbc41f0ddbaacb	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Tanytarsus
01b2015846fc51e57794e7a80c9b517e	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Lasiocampidae;g__Malacosoma;s__Malacosoma disstria
01b2be609ff99c0007515f329043715a	k__Animalia;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae;g__Gyponana
01b444b555d0536355392ff56e09dcd5	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
01b60adbfb65aa61db2458a3ee223156	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
01d41b96bbf776659a5d77877f30584e	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Procladius;s__Procladius rufovittatus
01e6f83ed86af36c9b0bde932ec06031	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera
01ee04ccb58f8f4ef72f309755b145de	k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera
01eef8b879a560a9a728fadd780f12de	k__Animalia;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Caenidae;g__Caenis
0201434e273a5ad08555532b434c334b	k__Animalia;p__Arthropoda;c__Insecta;o__Diptera;f__Chaoboridae;g__Chaoborus;s__Chaoborus punctipennis
