	level	Precision	Recall	F-measure
0	1	1.0	1.0	1.0
1	2	1.0	1.0	1.0
2	3	1.0	1.0	1.0
3	4	1.0	1.0	1.0
4	5	0.8260869565217391	0.7916666666666666	0.8085106382978724
5	6	0.7619047619047619	0.6666666666666666	0.7111111111111111
6	7	0.7222222222222222	0.5416666666666666	0.619047619047619
