Sample Name	Sample title	BioProject Accession	Organism	host	isolation source	collection date	geographic location	latitude and longitude	Sample type	Isolate
oro161952		PRJNA518082	not collected		feces metagenome	2016-07-06	USA: Holderness NH	not collected	sample	oro161952
oro161953		PRJNA518082	not collected		feces metagenome	2016-07-06	USA: Holderness NH	not collected	sample	oro161953
oro161954		PRJNA518082	not collected		feces metagenome	2016-07-06	USA: Holderness NH	not collected	sample	oro161954
oro161955		PRJNA518082	not collected		feces metagenome	2016-07-06	USA: Holderness NH	not collected	sample	oro161955
oro161956		PRJNA518082	not collected		feces metagenome	2016-07-06	USA: Holderness NH	not collected	sample	oro161956
oro161957		PRJNA518082	not collected		feces metagenome	2016-07-06	USA: Holderness NH	not collected	sample	oro161957
oro161958		PRJNA518082	not collected		feces metagenome	2016-07-06	USA: Holderness NH	not collected	sample	oro161958
oro161959		PRJNA518082	not collected		feces metagenome	2016-07-06	USA: Holderness NH	not collected	sample	oro161959
oro161960		PRJNA518082	not collected		feces metagenome	2016-07-13	USA: Holderness NH	not collected	sample	oro161960
oro161961		PRJNA518082	not collected		feces metagenome	2016-07-20	USA: Holderness NH	not collected	sample	oro161961
oro161962		PRJNA518082	not collected		feces metagenome	2016-07-20	USA: Holderness NH	not collected	sample	oro161962
oro161963		PRJNA518082	not collected		feces metagenome	2016-07-20	USA: Holderness NH	not collected	sample	oro161963
oro161964		PRJNA518082	not collected		feces metagenome	2016-07-20	USA: Holderness NH	not collected	sample	oro161964
oro161965		PRJNA518082	not collected		feces metagenome	2016-07-20	USA: Holderness NH	not collected	sample	oro161965
oro161966		PRJNA518082	not collected		feces metagenome	2016-07-20	USA: Holderness NH	not collected	sample	oro161966
oro161967		PRJNA518082	not collected		feces metagenome	2016-07-20	USA: Holderness NH	not collected	sample	oro161967
oro161968		PRJNA518082	not collected		feces metagenome	2016-07-20	USA: Holderness NH	not collected	sample	oro161968
oro161969		PRJNA518082	not collected		feces metagenome	2016-07-20	USA: Holderness NH	not collected	sample	oro161969
oro161970		PRJNA518082	not collected		feces metagenome	2016-07-20	USA: Holderness NH	not collected	sample	oro161970
oro161971		PRJNA518082	not collected		feces metagenome	2016-07-20	USA: Holderness NH	not collected	sample	oro161971
oro161972		PRJNA518082	not collected		feces metagenome	2016-07-13	USA: Holderness NH	not collected	sample	oro161972
oro161973		PRJNA518082	not collected		feces metagenome	2016-07-13	USA: Holderness NH	not collected	sample	oro161973
oro161974		PRJNA518082	not collected		feces metagenome	2016-07-13	USA: Holderness NH	not collected	sample	oro161974
oro161975		PRJNA518082	not collected		feces metagenome	2016-07-13	USA: Holderness NH	not collected	sample	oro161975
oro161976		PRJNA518082	not collected		feces metagenome	2016-07-13	USA: Holderness NH	not collected	sample	oro161976
oro161977		PRJNA518082	not collected		feces metagenome	2016-07-13	USA: Holderness NH	not collected	sample	oro161977
oro161978		PRJNA518082	not collected		feces metagenome	2016-07-13	USA: Holderness NH	not collected	sample	oro161978
oro161979		PRJNA518082	not collected		feces metagenome	2016-07-13	USA: Holderness NH	not collected	sample	oro161979
oro161980		PRJNA518082	not collected		feces metagenome	2016-07-13	USA: Holderness NH	not collected	sample	oro161980
oro161981		PRJNA518082	not collected		feces metagenome	2016-07-13	USA: Holderness NH	not collected	sample	oro161981
oro161982		PRJNA518082	not collected		feces metagenome	2016-07-13	USA: Holderness NH	not collected	sample	oro161982
oro161983		PRJNA518082	not collected		feces metagenome	2016-07-20	USA: Holderness NH	not collected	sample	oro161983
oro161987		PRJNA518082	not collected		feces metagenome	2016-05-12	USA: Massabesic NH	not collected	sample	oro161987
oro161990		PRJNA518082	not collected		feces metagenome	2016-05-12	USA: Massabesic NH	not collected	sample	oro161990
oro161996		PRJNA518082	not collected		feces metagenome	2016-05-12	USA: Massabesic NH	not collected	sample	oro161996
oro161997		PRJNA518082	not collected		feces metagenome	2016-05-12	USA: Massabesic NH	not collected	sample	oro161997
oro162013		PRJNA518082	not collected		feces metagenome	2016-05-12	USA: Massabesic NH	not collected	sample	oro162013
oro162134		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Hopkinton NH	not collected	sample	oro162134
oro162135		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Hopkinton NH	not collected	sample	oro162135
oro162136		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Hopkinton NH	not collected	sample	oro162136
oro162137		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Hopkinton NH	not collected	sample	oro162137
oro162138		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Hopkinton NH	not collected	sample	oro162138
oro162139		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Hopkinton NH	not collected	sample	oro162139
oro162140		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Hopkinton NH	not collected	sample	oro162140
oro162141		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Hopkinton NH	not collected	sample	oro162141
oro162142		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Hopkinton NH	not collected	sample	oro162142
oro162143		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Hopkinton NH	not collected	sample	oro162143
oro162144		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Hopkinton NH	not collected	sample	oro162144
oro162145		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Hopkinton NH	not collected	sample	oro162145
oro162146		PRJNA518082	not collected		feces metagenome	2016-07-10	USA: Hopkinton NH	not collected	sample	oro162146
oro162147		PRJNA518082	not collected		feces metagenome	2016-07-10	USA: Hopkinton NH	not collected	sample	oro162147
oro162149		PRJNA518082	not collected		feces metagenome	2016-07-10	USA: Hopkinton NH	not collected	sample	oro162149
oro162150		PRJNA518082	not collected		feces metagenome	2016-07-10	USA: Hopkinton NH	not collected	sample	oro162150
oro162151		PRJNA518082	not collected		feces metagenome	2016-07-10	USA: Hopkinton NH	not collected	sample	oro162151
oro162152		PRJNA518082	not collected		feces metagenome	2016-07-10	USA: Hopkinton NH	not collected	sample	oro162152
oro162153		PRJNA518082	not collected		feces metagenome	2016-07-10	USA: Hopkinton NH	not collected	sample	oro162153
oro162155		PRJNA518082	not collected		feces metagenome	2016-07-10	USA: Hopkinton NH	not collected	sample	oro162155
oro162156		PRJNA518082	not collected		feces metagenome	2016-07-10	USA: Hopkinton NH	not collected	sample	oro162156
oro162157		PRJNA518082	not collected		feces metagenome	2016-07-10	USA: Hopkinton NH	not collected	sample	oro162157
oro162158		PRJNA518082	not collected		feces metagenome	2016-07-17	USA: Hopkinton NH	not collected	sample	oro162158
oro162159		PRJNA518082	not collected		feces metagenome	2016-07-17	USA: Hopkinton NH	not collected	sample	oro162159
oro162160		PRJNA518082	not collected		feces metagenome	2016-07-17	USA: Hopkinton NH	not collected	sample	oro162160
oro162161		PRJNA518082	not collected		feces metagenome	2016-07-17	USA: Hopkinton NH	not collected	sample	oro162161
oro162162		PRJNA518082	not collected		feces metagenome	2016-07-17	USA: Hopkinton NH	not collected	sample	oro162162
oro162163		PRJNA518082	not collected		feces metagenome	2016-07-17	USA: Hopkinton NH	not collected	sample	oro162163
oro162164		PRJNA518082	not collected		feces metagenome	2016-07-17	USA: Hopkinton NH	not collected	sample	oro162164
oro162165		PRJNA518082	not collected		feces metagenome	2016-07-17	USA: Hopkinton NH	not collected	sample	oro162165
oro162166		PRJNA518082	not collected		feces metagenome	2016-07-17	USA: Hopkinton NH	not collected	sample	oro162166
oro162167		PRJNA518082	not collected		feces metagenome	2016-07-17	USA: Hopkinton NH	not collected	sample	oro162167
oro162168		PRJNA518082	not collected		feces metagenome	2016-07-17	USA: Hopkinton NH	not collected	sample	oro162168
oro162169		PRJNA518082	not collected		feces metagenome	2016-07-17	USA: Hopkinton NH	not collected	sample	oro162169
oro162170		PRJNA518082	not collected		feces metagenome	2016-07-24	USA: Hopkinton NH	not collected	sample	oro162170
oro162171		PRJNA518082	not collected		feces metagenome	2016-07-24	USA: Hopkinton NH	not collected	sample	oro162171
oro162172		PRJNA518082	not collected		feces metagenome	2016-07-24	USA: Hopkinton NH	not collected	sample	oro162172
oro162173		PRJNA518082	not collected		feces metagenome	2016-07-24	USA: Hopkinton NH	not collected	sample	oro162173
oro162174		PRJNA518082	not collected		feces metagenome	2016-07-24	USA: Hopkinton NH	not collected	sample	oro162174
oro162175		PRJNA518082	not collected		feces metagenome	2016-07-24	USA: Hopkinton NH	not collected	sample	oro162175
oro162176		PRJNA518082	not collected		feces metagenome	2016-07-24	USA: Hopkinton NH	not collected	sample	oro162176
oro162177		PRJNA518082	not collected		feces metagenome	2016-07-24	USA: Hopkinton NH	not collected	sample	oro162177
oro162178		PRJNA518082	not collected		feces metagenome	2016-07-24	USA: Hopkinton NH	not collected	sample	oro162178
oro162179		PRJNA518082	not collected		feces metagenome	2016-07-24	USA: Hopkinton NH	not collected	sample	oro162179
oro162180		PRJNA518082	not collected		feces metagenome	2016-07-24	USA: Hopkinton NH	not collected	sample	oro162180
oro162181		PRJNA518082	not collected		feces metagenome	2016-07-24	USA: Hopkinton NH	not collected	sample	oro162181
oro163960		PRJNA518082	not collected		feces metagenome	2016-08-03	USA: Holderness NH	not collected	sample	oro163960
oro163962		PRJNA518082	not collected		feces metagenome	2016-08-03	USA: Holderness NH	not collected	sample	oro163962
oro163972		PRJNA518082	not collected		feces metagenome	2016-07-27	USA: Holderness NH	not collected	sample	oro163972
oro163973		PRJNA518082	not collected		feces metagenome	2016-07-27	USA: Holderness NH	not collected	sample	oro163973
oro163974		PRJNA518082	not collected		feces metagenome	2016-07-27	USA: Holderness NH	not collected	sample	oro163974
oro163975		PRJNA518082	not collected		feces metagenome	2016-07-27	USA: Holderness NH	not collected	sample	oro163975
oro163976		PRJNA518082	not collected		feces metagenome	2016-07-27	USA: Holderness NH	not collected	sample	oro163976
oro163977		PRJNA518082	not collected		feces metagenome	2016-07-27	USA: Holderness NH	not collected	sample	oro163977
oro163978		PRJNA518082	not collected		feces metagenome	2016-07-27	USA: Holderness NH	not collected	sample	oro163978
oro163979		PRJNA518082	not collected		feces metagenome	2016-07-27	USA: Holderness NH	not collected	sample	oro163979
oro163981		PRJNA518082	not collected		feces metagenome	2016-07-27	USA: Holderness NH	not collected	sample	oro163981
oro163982		PRJNA518082	not collected		feces metagenome	2016-07-27	USA: Holderness NH	not collected	sample	oro163982
oro163983		PRJNA518082	not collected		feces metagenome	2016-07-27	USA: Holderness NH	not collected	sample	oro163983
mockIM4p4L2		PRJNA518082	not collected		feces metagenome	not applicable	not applicable	not collected	mock	mockIM4p4L2
