Sample Name,Sample title,BioProject accession,Organism,host,isolation source,collection date,geographic location,latitude and longitude,library,sample type,isolate
negoro07C03,negoro07C03,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libA,ncontrol,negoro07C03
negoro07D04,negoro07D04,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libA,ncontrol,negoro07D04
negoro07E05,negoro07E05,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libA,ncontrol,negoro07E05
negoro07F06,negoro07F06,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libA,ncontrol,negoro07F06
negoro07G07,negoro07G07,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libA,ncontrol,negoro07G07
negoro07H08,negoro07H08,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libA,ncontrol,negoro07H08
negoro08B02,negoro08B02,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libA,ncontrol,negoro08B02
negoro08D04,negoro08D04,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libA,ncontrol,negoro08D04
negoro08F06,negoro08F06,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libA,ncontrol,negoro08F06
negoro08G07,negoro08G07,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libA,ncontrol,negoro08G07
negoro08H08,negoro08H08,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libA,ncontrol,negoro08H08
negoro08H11,negoro08H11,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libA,ncontrol,negoro08H11
negoro09A01,negoro09A01,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libA,ncontrol,negoro09A01
negoro09C03,negoro09C03,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libA,ncontrol,negoro09C03
negoro09D04,negoro09D04,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libA,ncontrol,negoro09D04
negoro09E05,negoro09E05,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libA,ncontrol,negoro09E05
negoro09F06,negoro09F06,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libA,ncontrol,negoro09F06
negoro09G07,negoro09G07,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libA,ncontrol,negoro09G07
negoro09H08,negoro09H08,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libA,ncontrol,negoro09H08
negoro10B02,negoro10B02,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libA,ncontrol,negoro10B02
negoro10D04,negoro10D04,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libA,ncontrol,negoro10D04
negoro10E05,negoro10E05,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libA,ncontrol,negoro10E05
negoro10F06,negoro10F06,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libA,ncontrol,negoro10F06
negoro10G07,negoro10G07,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libA,ncontrol,negoro10G07
negoro10H08,negoro10H08,PRJNA518082,not collected,not collected,feces metagenome,not applicable,not applicable,not applicable,libA,ncontrol,negoro10H08
oro161134,oro161134,PRJNA518082,not collected,not collected,feces metagenome,2016-05-26,USA: Penacook NH,not applicable,libA,sample,oro161134
oro161135,oro161135,PRJNA518082,not collected,not collected,feces metagenome,2016-05-26,USA: Penacook NH,not applicable,libA,sample,oro161135
oro161136,oro161136,PRJNA518082,not collected,not collected,feces metagenome,2016-05-26,USA: Penacook NH,not applicable,libA,sample,oro161136
oro161137,oro161137,PRJNA518082,not collected,not collected,feces metagenome,2016-05-26,USA: Penacook NH,not applicable,libA,sample,oro161137
oro161138,oro161138,PRJNA518082,not collected,not collected,feces metagenome,2016-05-26,USA: Penacook NH,not applicable,libA,sample,oro161138
oro161139,oro161139,PRJNA518082,not collected,not collected,feces metagenome,2016-05-26,USA: Penacook NH,not applicable,libA,sample,oro161139
oro161140,oro161140,PRJNA518082,not collected,not collected,feces metagenome,2016-05-26,USA: Penacook NH,not applicable,libA,sample,oro161140
oro161141,oro161141,PRJNA518082,not collected,not collected,feces metagenome,2016-05-26,USA: Penacook NH,not applicable,libA,sample,oro161141
oro161142,oro161142,PRJNA518082,not collected,not collected,feces metagenome,2016-05-26,USA: Penacook NH,not applicable,libA,sample,oro161142
oro161143,oro161143,PRJNA518082,not collected,not collected,feces metagenome,2016-05-26,USA: Penacook NH,not applicable,libA,sample,oro161143
oro161144,oro161144,PRJNA518082,not collected,not collected,feces metagenome,2016-05-26,USA: Penacook NH,not applicable,libA,sample,oro161144
oro161146,oro161146,PRJNA518082,not collected,not collected,feces metagenome,2016-06-03,USA: Penacook NH,not applicable,libA,sample,oro161146
oro161147,oro161147,PRJNA518082,not collected,not collected,feces metagenome,2016-06-03,USA: Penacook NH,not applicable,libA,sample,oro161147
oro161148,oro161148,PRJNA518082,not collected,not collected,feces metagenome,2016-06-03,USA: Penacook NH,not applicable,libA,sample,oro161148
oro161149,oro161149,PRJNA518082,not collected,not collected,feces metagenome,2016-06-03,USA: Penacook NH,not applicable,libA,sample,oro161149
oro161150,oro161150,PRJNA518082,not collected,not collected,feces metagenome,2016-06-03,USA: Penacook NH,not applicable,libA,sample,oro161150
oro161151,oro161151,PRJNA518082,not collected,not collected,feces metagenome,2016-06-03,USA: Penacook NH,not applicable,libA,sample,oro161151
oro161152,oro161152,PRJNA518082,not collected,not collected,feces metagenome,2016-06-03,USA: Penacook NH,not applicable,libA,sample,oro161152
oro161153,oro161153,PRJNA518082,not collected,not collected,feces metagenome,2016-06-03,USA: Penacook NH,not applicable,libA,sample,oro161153
oro161154,oro161154,PRJNA518082,not collected,not collected,feces metagenome,2016-06-03,USA: Penacook NH,not applicable,libA,sample,oro161154
oro161155,oro161155,PRJNA518082,not collected,not collected,feces metagenome,2016-06-03,USA: Penacook NH,not applicable,libA,sample,oro161155
oro161156,oro161156,PRJNA518082,not collected,not collected,feces metagenome,2016-06-03,USA: Penacook NH,not applicable,libA,sample,oro161156
oro161157,oro161157,PRJNA518082,not collected,not collected,feces metagenome,2016-06-03,USA: Penacook NH,not applicable,libA,sample,oro161157
oro161158,oro161158,PRJNA518082,not collected,not collected,feces metagenome,2016-06-09,USA: Penacook NH,not applicable,libA,sample,oro161158
oro161159,oro161159,PRJNA518082,not collected,not collected,feces metagenome,2016-06-09,USA: Penacook NH,not applicable,libA,sample,oro161159
oro161160,oro161160,PRJNA518082,not collected,not collected,feces metagenome,2016-06-09,USA: Penacook NH,not applicable,libA,sample,oro161160
oro161161,oro161161,PRJNA518082,not collected,not collected,feces metagenome,2016-06-09,USA: Penacook NH,not applicable,libA,sample,oro161161
oro161162,oro161162,PRJNA518082,not collected,not collected,feces metagenome,2016-06-09,USA: Penacook NH,not applicable,libA,sample,oro161162
oro161164,oro161164,PRJNA518082,not collected,not collected,feces metagenome,2016-06-09,USA: Penacook NH,not applicable,libA,sample,oro161164
oro161165,oro161165,PRJNA518082,not collected,not collected,feces metagenome,2016-06-09,USA: Penacook NH,not applicable,libA,sample,oro161165
oro161166,oro161166,PRJNA518082,not collected,not collected,feces metagenome,2016-06-09,USA: Penacook NH,not applicable,libA,sample,oro161166
oro161167,oro161167,PRJNA518082,not collected,not collected,feces metagenome,2016-06-09,USA: Penacook NH,not applicable,libA,sample,oro161167
oro161168,oro161168,PRJNA518082,not collected,not collected,feces metagenome,2016-06-09,USA: Penacook NH,not applicable,libA,sample,oro161168
oro161169,oro161169,PRJNA518082,not collected,not collected,feces metagenome,2016-06-09,USA: Penacook NH,not applicable,libA,sample,oro161169
oro161170,oro161170,PRJNA518082,not collected,not collected,feces metagenome,2016-06-17,USA: Penacook NH,not applicable,libA,sample,oro161170
oro161171,oro161171,PRJNA518082,not collected,not collected,feces metagenome,2016-06-17,USA: Penacook NH,not applicable,libA,sample,oro161171
oro161171a,oro161171a,PRJNA518082,not collected,not collected,feces metagenome,2016-06-17,USA: Penacook NH,not applicable,libA,sample,oro161171a
oro161171b,oro161171b,PRJNA518082,not collected,not collected,feces metagenome,2016-06-17,USA: Penacook NH,not applicable,libA,sample,oro161171b
oro161172,oro161172,PRJNA518082,not collected,not collected,feces metagenome,2016-06-17,USA: Penacook NH,not applicable,libA,sample,oro161172
oro161173,oro161173,PRJNA518082,not collected,not collected,feces metagenome,2016-06-17,USA: Penacook NH,not applicable,libA,sample,oro161173
oro161174,oro161174,PRJNA518082,not collected,not collected,feces metagenome,2016-06-17,USA: Penacook NH,not applicable,libA,sample,oro161174
oro161175,oro161175,PRJNA518082,not collected,not collected,feces metagenome,2016-06-17,USA: Penacook NH,not applicable,libA,sample,oro161175
oro161176,oro161176,PRJNA518082,not collected,not collected,feces metagenome,2016-06-17,USA: Penacook NH,not applicable,libA,sample,oro161176
oro161178,oro161178,PRJNA518082,not collected,not collected,feces metagenome,2016-06-17,USA: Penacook NH,not applicable,libA,sample,oro161178
oro161179,oro161179,PRJNA518082,not collected,not collected,feces metagenome,2016-06-17,USA: Penacook NH,not applicable,libA,sample,oro161179
oro161180,oro161180,PRJNA518082,not collected,not collected,feces metagenome,2016-06-17,USA: Penacook NH,not applicable,libA,sample,oro161180
