Sample Name	Sample title	BioProject Accession	Organism	host	isolation source	collection date	geographic location	latitude and longitude	Sample type	Isolate
oro161351		PRJNA518082	not collected		feces metagenome	2016-06-04	USA: Epsom NH	not collected	sample	oro161351
oro161352		PRJNA518082	not collected		feces metagenome	2016-06-04	USA: Epsom NH	not collected	sample	oro161352
oro161353		PRJNA518082	not collected		feces metagenome	2016-06-04	USA: Epsom NH	not collected	sample	oro161353
oro161354		PRJNA518082	not collected		feces metagenome	2016-06-04	USA: Epsom NH	not collected	sample	oro161354
oro161355		PRJNA518082	not collected		feces metagenome	2016-06-04	USA: Epsom NH	not collected	sample	oro161355
oro161356		PRJNA518082	not collected		feces metagenome	2016-06-04	USA: Epsom NH	not collected	sample	oro161356
oro161357		PRJNA518082	not collected		feces metagenome	2016-06-04	USA: Epsom NH	not collected	sample	oro161357
oro161358		PRJNA518082	not collected		feces metagenome	2016-06-10	USA: Epsom NH	not collected	sample	oro161358
oro161360		PRJNA518082	not collected		feces metagenome	2016-06-10	USA: Epsom NH	not collected	sample	oro161360
oro161361		PRJNA518082	not collected		feces metagenome	2016-06-10	USA: Epsom NH	not collected	sample	oro161361
oro161362		PRJNA518082	not collected		feces metagenome	2016-06-10	USA: Epsom NH	not collected	sample	oro161362
oro161363		PRJNA518082	not collected		feces metagenome	2016-06-10	USA: Epsom NH	not collected	sample	oro161363
oro161364		PRJNA518082	not collected		feces metagenome	2016-06-10	USA: Epsom NH	not collected	sample	oro161364
oro161365		PRJNA518082	not collected		feces metagenome	2016-06-10	USA: Epsom NH	not collected	sample	oro161365
oro161366		PRJNA518082	not collected		feces metagenome	2016-06-10	USA: Epsom NH	not collected	sample	oro161366
oro161367		PRJNA518082	not collected		feces metagenome	2016-06-10	USA: Epsom NH	not collected	sample	oro161367
oro161368		PRJNA518082	not collected		feces metagenome	2016-06-10	USA: Epsom NH	not collected	sample	oro161368
oro161369		PRJNA518082	not collected		feces metagenome	2016-06-10	USA: Epsom NH	not collected	sample	oro161369
oro161435		PRJNA518082	not collected		feces metagenome	2016-05-19	USA: Canterbury NH	not collected	sample	oro161435
oro161436		PRJNA518082	not collected		feces metagenome	2016-05-19	USA: Canterbury NH	not collected	sample	oro161436
oro161437		PRJNA518082	not collected		feces metagenome	2016-05-19	USA: Canterbury NH	not collected	sample	oro161437
oro161438		PRJNA518082	not collected		feces metagenome	2016-05-19	USA: Canterbury NH	not collected	sample	oro161438
oro161439		PRJNA518082	not collected		feces metagenome	2016-05-19	USA: Canterbury NH	not collected	sample	oro161439
oro161440		PRJNA518082	not collected		feces metagenome	2016-05-19	USA: Canterbury NH	not collected	sample	oro161440
oro161441		PRJNA518082	not collected		feces metagenome	2016-05-19	USA: Canterbury NH	not collected	sample	oro161441
oro161442		PRJNA518082	not collected		feces metagenome	2016-05-19	USA: Canterbury NH	not collected	sample	oro161442
oro161443		PRJNA518082	not collected		feces metagenome	2016-05-19	USA: Canterbury NH	not collected	sample	oro161443
oro161444		PRJNA518082	not collected		feces metagenome	2016-05-19	USA: Canterbury NH	not collected	sample	oro161444
oro161445		PRJNA518082	not collected		feces metagenome	2016-05-19	USA: Canterbury NH	not collected	sample	oro161445
oro161447		PRJNA518082	not collected		feces metagenome	2016-05-26	USA: Canterbury NH	not collected	sample	oro161447
oro161448		PRJNA518082	not collected		feces metagenome	2016-05-26	USA: Canterbury NH	not collected	sample	oro161448
oro161449		PRJNA518082	not collected		feces metagenome	2016-05-26	USA: Canterbury NH	not collected	sample	oro161449
oro161450		PRJNA518082	not collected		feces metagenome	2016-05-26	USA: Canterbury NH	not collected	sample	oro161450
oro161451		PRJNA518082	not collected		feces metagenome	2016-05-26	USA: Canterbury NH	not collected	sample	oro161451
oro161452		PRJNA518082	not collected		feces metagenome	2016-05-26	USA: Canterbury NH	not collected	sample	oro161452
oro161453		PRJNA518082	not collected		feces metagenome	2016-05-26	USA: Canterbury NH	not collected	sample	oro161453
oro161454		PRJNA518082	not collected		feces metagenome	2016-05-26	USA: Canterbury NH	not collected	sample	oro161454
oro161455		PRJNA518082	not collected		feces metagenome	2016-05-26	USA: Canterbury NH	not collected	sample	oro161455
oro161457		PRJNA518082	not collected		feces metagenome	2016-05-26	USA: Canterbury NH	not collected	sample	oro161457
oro161458		PRJNA518082	not collected		feces metagenome	2016-06-03	USA: Canterbury NH	not collected	sample	oro161458
oro161459		PRJNA518082	not collected		feces metagenome	2016-06-03	USA: Canterbury NH	not collected	sample	oro161459
oro161461		PRJNA518082	not collected		feces metagenome	2016-06-03	USA: Canterbury NH	not collected	sample	oro161461
oro161462		PRJNA518082	not collected		feces metagenome	2016-06-03	USA: Canterbury NH	not collected	sample	oro161462
oro161463		PRJNA518082	not collected		feces metagenome	2016-06-03	USA: Canterbury NH	not collected	sample	oro161463
oro161464		PRJNA518082	not collected		feces metagenome	2016-06-03	USA: Canterbury NH	not collected	sample	oro161464
oro161465		PRJNA518082	not collected		feces metagenome	2016-06-03	USA: Canterbury NH	not collected	sample	oro161465
oro161466		PRJNA518082	not collected		feces metagenome	2016-06-03	USA: Canterbury NH	not collected	sample	oro161466
oro161467		PRJNA518082	not collected		feces metagenome	2016-06-03	USA: Canterbury NH	not collected	sample	oro161467
oro161468		PRJNA518082	not collected		feces metagenome	2016-06-03	USA: Canterbury NH	not collected	sample	oro161468
oro161470		PRJNA518082	not collected		feces metagenome	2016-06-11	USA: Canterbury NH	not collected	sample	oro161470
oro161471		PRJNA518082	not collected		feces metagenome	2016-06-11	USA: Canterbury NH	not collected	sample	oro161471
oro161472		PRJNA518082	not collected		feces metagenome	2016-06-11	USA: Canterbury NH	not collected	sample	oro161472
oro161473		PRJNA518082	not collected		feces metagenome	2016-06-11	USA: Canterbury NH	not collected	sample	oro161473
oro161474		PRJNA518082	not collected		feces metagenome	2016-06-11	USA: Canterbury NH	not collected	sample	oro161474
oro161475		PRJNA518082	not collected		feces metagenome	2016-06-11	USA: Canterbury NH	not collected	sample	oro161475
oro161476		PRJNA518082	not collected		feces metagenome	2016-06-11	USA: Canterbury NH	not collected	sample	oro161476
oro161477		PRJNA518082	not collected		feces metagenome	2016-06-11	USA: Canterbury NH	not collected	sample	oro161477
oro161478		PRJNA518082	not collected		feces metagenome	2016-06-11	USA: Canterbury NH	not collected	sample	oro161478
oro161479		PRJNA518082	not collected		feces metagenome	2016-06-11	USA: Canterbury NH	not collected	sample	oro161479
oro161480		PRJNA518082	not collected		feces metagenome	2016-06-11	USA: Canterbury NH	not collected	sample	oro161480
oro161481		PRJNA518082	not collected		feces metagenome	2016-06-11	USA: Canterbury NH	not collected	sample	oro161481
oro161484		PRJNA518082	not collected		feces metagenome	2016-06-18	USA: Canterbury NH	not collected	sample	oro161484
oro161485		PRJNA518082	not collected		feces metagenome	2016-06-18	USA: Canterbury NH	not collected	sample	oro161485
oro161486		PRJNA518082	not collected		feces metagenome	2016-06-18	USA: Canterbury NH	not collected	sample	oro161486
oro161487		PRJNA518082	not collected		feces metagenome	2016-06-18	USA: Canterbury NH	not collected	sample	oro161487
oro161488		PRJNA518082	not collected		feces metagenome	2016-06-18	USA: Canterbury NH	not collected	sample	oro161488
oro161489		PRJNA518082	not collected		feces metagenome	2016-06-18	USA: Canterbury NH	not collected	sample	oro161489
oro161490		PRJNA518082	not collected		feces metagenome	2016-06-18	USA: Canterbury NH	not collected	sample	oro161490
oro161491		PRJNA518082	not collected		feces metagenome	2016-06-18	USA: Canterbury NH	not collected	sample	oro161491
oro161492		PRJNA518082	not collected		feces metagenome	2016-06-18	USA: Canterbury NH	not collected	sample	oro161492
oro161493		PRJNA518082	not collected		feces metagenome	2016-06-18	USA: Canterbury NH	not collected	sample	oro161493
oro161494		PRJNA518082	not collected		feces metagenome	2016-06-18	USA: Canterbury NH	not collected	sample	oro161494
oro161495		PRJNA518082	not collected		feces metagenome	2016-06-18	USA: Canterbury NH	not collected	sample	oro161495
oro161496		PRJNA518082	not collected		feces metagenome	2016-06-26	USA: Canterbury NH	not collected	sample	oro161496
oro161497		PRJNA518082	not collected		feces metagenome	2016-06-26	USA: Canterbury NH	not collected	sample	oro161497
oro161498		PRJNA518082	not collected		feces metagenome	2016-06-26	USA: Canterbury NH	not collected	sample	oro161498
oro161499		PRJNA518082	not collected		feces metagenome	2016-06-26	USA: Canterbury NH	not collected	sample	oro161499
oro161500		PRJNA518082	not collected		feces metagenome	2016-06-26	USA: Canterbury NH	not collected	sample	oro161500
oro161501		PRJNA518082	not collected		feces metagenome	2016-06-26	USA: Canterbury NH	not collected	sample	oro161501
oro161502		PRJNA518082	not collected		feces metagenome	2016-06-26	USA: Canterbury NH	not collected	sample	oro161502
oro161503		PRJNA518082	not collected		feces metagenome	2016-06-26	USA: Canterbury NH	not collected	sample	oro161503
oro161504		PRJNA518082	not collected		feces metagenome	2016-06-26	USA: Canterbury NH	not collected	sample	oro161504
oro161506		PRJNA518082	not collected		feces metagenome	2016-06-26	USA: Canterbury NH	not collected	sample	oro161506
oro161507		PRJNA518082	not collected		feces metagenome	2016-06-26	USA: Canterbury NH	not collected	sample	oro161507
oro161508		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Canterbury NH	not collected	sample	oro161508
oro161509		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Canterbury NH	not collected	sample	oro161509
oro161510		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Canterbury NH	not collected	sample	oro161510
oro161511		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Canterbury NH	not collected	sample	oro161511
oro161512		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Canterbury NH	not collected	sample	oro161512
oro161513		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Canterbury NH	not collected	sample	oro161513
oro161514		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Canterbury NH	not collected	sample	oro161514
oro161515		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Canterbury NH	not collected	sample	oro161515
oro161516		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Canterbury NH	not collected	sample	oro161516
oro161517		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Canterbury NH	not collected	sample	oro161517
oro161519		PRJNA518082	not collected		feces metagenome	2016-07-03	USA: Canterbury NH	not collected	sample	oro161519
oro161535		PRJNA518082	not collected		feces metagenome	2016-06-02	USA: Gilsum NH	not collected	sample	oro161535
oro161536		PRJNA518082	not collected		feces metagenome	2016-06-02	USA: Gilsum NH	not collected	sample	oro161536
oro161537		PRJNA518082	not collected		feces metagenome	2016-05-16	USA: Gilsum NH	not collected	sample	oro161537
oro161538		PRJNA518082	not collected		feces metagenome	2016-05-16	USA: Gilsum NH	not collected	sample	oro161538
oro161539		PRJNA518082	not collected		feces metagenome	2016-05-19	USA: Gilsum NH	not collected	sample	oro161539
oro161540		PRJNA518082	not collected		feces metagenome	2016-06-02	USA: Gilsum NH	not collected	sample	oro161540
oro161541		PRJNA518082	not collected		feces metagenome	2016-06-02	USA: Gilsum NH	not collected	sample	oro161541
oro161542		PRJNA518082	not collected		feces metagenome	2016-05-16	USA: Gilsum NH	not collected	sample	oro161542
oro161543		PRJNA518082	not collected		feces metagenome	2016-06-02	USA: Gilsum NH	not collected	sample	oro161543
oro161544		PRJNA518082	not collected		feces metagenome	2016-05-19	USA: Gilsum NH	not collected	sample	oro161544
oro161546		PRJNA518082	not collected		feces metagenome	2016-06-15	USA: Gilsum NH	not collected	sample	oro161546
oro161547		PRJNA518082	not collected		feces metagenome	2016-06-02	USA: Gilsum NH	not collected	sample	oro161547
oro161548		PRJNA518082	not collected		feces metagenome	2016-05-16	USA: Gilsum NH	not collected	sample	oro161548
oro161549		PRJNA518082	not collected		feces metagenome	2016-05-16	USA: Gilsum NH	not collected	sample	oro161549
oro161550		PRJNA518082	not collected		feces metagenome	2016-05-16	USA: Gilsum NH	not collected	sample	oro161550
oro161551		PRJNA518082	not collected		feces metagenome	2016-05-19	USA: Gilsum NH	not collected	sample	oro161551
oro161552		PRJNA518082	not collected		feces metagenome	2016-06-15	USA: Gilsum NH	not collected	sample	oro161552
oro161554		PRJNA518082	not collected		feces metagenome	2016-05-16	USA: Gilsum NH	not collected	sample	oro161554
oro161555		PRJNA518082	not collected		feces metagenome	2016-05-16	USA: Gilsum NH	not collected	sample	oro161555
oro161556		PRJNA518082	not collected		feces metagenome	2016-05-19	USA: Gilsum NH	not collected	sample	oro161556
oro161557		PRJNA518082	not collected		feces metagenome	2016-05-19	USA: Gilsum NH	not collected	sample	oro161557
oro161558		PRJNA518082	not collected		feces metagenome	2016-06-15	USA: Gilsum NH	not collected	sample	oro161558
oro161560		PRJNA518082	not collected		feces metagenome	2016-06-15	USA: Gilsum NH	not collected	sample	oro161560
oro161561		PRJNA518082	not collected		feces metagenome	2016-06-02	USA: Gilsum NH	not collected	sample	oro161561
oro161562		PRJNA518082	not collected		feces metagenome	2016-06-02	USA: Gilsum NH	not collected	sample	oro161562
oro161563		PRJNA518082	not collected		feces metagenome	2016-05-19	USA: Gilsum NH	not collected	sample	oro161563
oro161564		PRJNA518082	not collected		feces metagenome	2016-06-15	USA: Gilsum NH	not collected	sample	oro161564
oro161565		PRJNA518082	not collected		feces metagenome	2016-06-02	USA: Gilsum NH	not collected	sample	oro161565
oro161567		PRJNA518082	not collected		feces metagenome	2016-06-15	USA: Gilsum NH	not collected	sample	oro161567
oro161568		PRJNA518082	not collected		feces metagenome	2016-05-16	USA: Gilsum NH	not collected	sample	oro161568
oro161569		PRJNA518082	not collected		feces metagenome	2016-05-19	USA: Gilsum NH	not collected	sample	oro161569
oro161570		PRJNA518082	not collected		feces metagenome	2016-06-15	USA: Gilsum NH	not collected	sample	oro161570
oro161571		PRJNA518082	not collected		feces metagenome	2016-06-15	USA: Gilsum NH	not collected	sample	oro161571
oro161573		PRJNA518082	not collected		feces metagenome	2016-05-16	USA: Gilsum NH	not collected	sample	oro161573
oro161574		PRJNA518082	not collected		feces metagenome	2016-06-15	USA: Gilsum NH	not collected	sample	oro161574
oro161575		PRJNA518082	not collected		feces metagenome	2016-05-19	USA: Gilsum NH	not collected	sample	oro161575
oro161576		PRJNA518082	not collected		feces metagenome	2016-06-15	USA: Gilsum NH	not collected	sample	oro161576
oro161577		PRJNA518082	not collected		feces metagenome	2016-06-02	USA: Gilsum NH	not collected	sample	oro161577
oro161578		PRJNA518082	not collected		feces metagenome	2016-05-16	USA: Gilsum NH	not collected	sample	oro161578
oro161579		PRJNA518082	not collected		feces metagenome	2016-06-02	USA: Gilsum NH	not collected	sample	oro161579
oro161580		PRJNA518082	not collected		feces metagenome	2016-05-19	USA: Gilsum NH	not collected	sample	oro161580
oro161581		PRJNA518082	not collected		feces metagenome	2016-05-19	USA: Gilsum NH	not collected	sample	oro161581
oro161582		PRJNA518082	not collected		feces metagenome	2016-06-15	USA: Gilsum NH	not collected	sample	oro161582
oro161583		PRJNA518082	not collected		feces metagenome	2016-06-15	USA: Gilsum NH	not collected	sample	oro161583
oro161684		PRJNA518082	not collected		feces metagenome	2016-05-25	USA: Holderness NH	not collected	sample	oro161684
oro161685		PRJNA518082	not collected		feces metagenome	2016-05-25	USA: Holderness NH	not collected	sample	oro161685
oro161686		PRJNA518082	not collected		feces metagenome	2016-05-25	USA: Holderness NH	not collected	sample	oro161686
oro161687		PRJNA518082	not collected		feces metagenome	2016-05-25	USA: Holderness NH	not collected	sample	oro161687
oro161688		PRJNA518082	not collected		feces metagenome	2016-05-25	USA: Holderness NH	not collected	sample	oro161688
oro161689		PRJNA518082	not collected		feces metagenome	2016-05-25	USA: Holderness NH	not collected	sample	oro161689
oro161690		PRJNA518082	not collected		feces metagenome	2016-05-25	USA: Holderness NH	not collected	sample	oro161690
