Sample Name	Sample title	BioProject Accession	Organism	host	isolation source	collection date	geographic location	latitude and longitude	Sample type	Isolate
oro163553		PRJNA518082	not collected		feces metagenome	2016-08-30	USA: Massabesic NH	not collected	sample	oro163553
oro163554		PRJNA518082	not collected		feces metagenome	2016-08-30	USA: Massabesic NH	not collected	sample	oro163554
oro163555		PRJNA518082	not collected		feces metagenome	2016-08-30	USA: Massabesic NH	not collected	sample	oro163555
oro163557		PRJNA518082	not collected		feces metagenome	2016-08-01	USA: Massabesic NH	not collected	sample	oro163557
oro163558		PRJNA518082	not collected		feces metagenome	2016-08-30	USA: Massabesic NH	not collected	sample	oro163558
oro163559		PRJNA518082	not collected		feces metagenome	2016-08-30	USA: Massabesic NH	not collected	sample	oro163559
oro163560		PRJNA518082	not collected		feces metagenome	2016-08-30	USA: Massabesic NH	not collected	sample	oro163560
oro163561		PRJNA518082	not collected		feces metagenome	2016-08-01	USA: Massabesic NH	not collected	sample	oro163561
oro163562		PRJNA518082	not collected		feces metagenome	2016-08-01	USA: Massabesic NH	not collected	sample	oro163562
oro163563		PRJNA518082	not collected		feces metagenome	2016-08-01	USA: Massabesic NH	not collected	sample	oro163563
oro163565		PRJNA518082	not collected		feces metagenome	2016-08-30	USA: Massabesic NH	not collected	sample	oro163565
oro163566		PRJNA518082	not collected		feces metagenome	2016-08-30	USA: Massabesic NH	not collected	sample	oro163566
oro163567		PRJNA518082	not collected		feces metagenome	2016-08-01	USA: Massabesic NH	not collected	sample	oro163567
oro163568		PRJNA518082	not collected		feces metagenome	2016-08-01	USA: Massabesic NH	not collected	sample	oro163568
oro163569		PRJNA518082	not collected		feces metagenome	2016-08-01	USA: Massabesic NH	not collected	sample	oro163569
oro163570		PRJNA518082	not collected		feces metagenome	2016-07-23	USA: Massabesic NH	not collected	sample	oro163570
oro163571		PRJNA518082	not collected		feces metagenome	2016-07-23	USA: Massabesic NH	not collected	sample	oro163571
oro163572a		PRJNA518082	not collected		feces metagenome	2016-08-30	USA: Massabesic NH	not collected	sample	oro163572a
oro163573		PRJNA518082	not collected		feces metagenome	2016-08-30	USA: Massabesic NH	not collected	sample	oro163573
oro163575		PRJNA518082	not collected		feces metagenome	2016-07-23	USA: Massabesic NH	not collected	sample	oro163575
oro163576		PRJNA518082	not collected		feces metagenome	2016-07-23	USA: Massabesic NH	not collected	sample	oro163576
oro163577		PRJNA518082	not collected		feces metagenome	2016-07-23	USA: Massabesic NH	not collected	sample	oro163577
oro163578		PRJNA518082	not collected		feces metagenome	2016-07-23	USA: Massabesic NH	not collected	sample	oro163578
