*sample_name	sample_title	bioproject_accession	*organism	*collection_date	*env_broad_scale	*env_local_scale	*env_medium	*geo_loc_name	*host	*lat_lon	SampleType	Library
oro160447		SUB5109424	not collected	2016-05-26	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160448		SUB5109424	not collected	2016-05-26	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160449		SUB5109424	not collected	2016-05-26	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160450		SUB5109424	not collected	2016-05-26	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160451		SUB5109424	not collected	2016-05-26	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160452		SUB5109424	not collected	2016-05-26	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160453		SUB5109424	not collected	2016-05-26	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160454		SUB5109424	not collected	2016-05-26	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160455		SUB5109424	not collected	2016-05-26	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160456		SUB5109424	not collected	2016-05-26	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160458		SUB5109424	not collected	2016-06-04	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160459		SUB5109424	not collected	2016-06-04	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160460		SUB5109424	not collected	2016-06-04	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160461		SUB5109424	not collected	2016-06-04	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160462		SUB5109424	not collected	2016-06-04	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160463		SUB5109424	not collected	2016-06-04	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160464		SUB5109424	not collected	2016-06-04	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160466		SUB5109424	not collected	2016-06-04	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160467		SUB5109424	not collected	2016-06-04	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160469		SUB5109424	not collected	2016-06-04	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160470		SUB5109424	not collected	2016-06-10	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160471		SUB5109424	not collected	2016-06-10	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160472		SUB5109424	not collected	2016-06-10	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160473		SUB5109424	not collected	2016-06-10	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160474		SUB5109424	not collected	2016-06-10	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160475		SUB5109424	not collected	2016-06-10	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160476		SUB5109424	not collected	2016-06-10	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160477		SUB5109424	not collected	2016-06-10	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160478		SUB5109424	not collected	2016-06-10	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160480		SUB5109424	not collected	2016-06-10	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160484		SUB5109424	not collected	2016-06-18	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160485		SUB5109424	not collected	2016-06-18	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160486		SUB5109424	not collected	2016-06-18	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160487		SUB5109424	not collected	2016-06-18	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160488		SUB5109424	not collected	2016-06-18	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160489		SUB5109424	not collected	2016-06-18	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160490		SUB5109424	not collected	2016-06-18	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160491		SUB5109424	not collected	2016-06-18	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160492		SUB5109424	not collected	2016-06-18	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160493		SUB5109424	not collected	2016-06-18	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160494		SUB5109424	not collected	2016-06-18	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160495		SUB5109424	not collected	2016-06-18	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160497		SUB5109424	not collected	2016-06-25	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160498		SUB5109424	not collected	2016-06-25	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160499		SUB5109424	not collected	2016-06-25	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160500		SUB5109424	not collected	2016-06-25	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160501		SUB5109424	not collected	2016-06-25	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160502		SUB5109424	not collected	2016-06-25	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160503		SUB5109424	not collected	2016-06-25	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160505		SUB5109424	not collected	2016-06-25	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160506		SUB5109424	not collected	2016-06-25	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160507		SUB5109424	not collected	2016-06-25	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160508		SUB5109424	not collected	2016-07-03	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160509		SUB5109424	not collected	2016-07-03	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160510		SUB5109424	not collected	2016-07-03	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160511		SUB5109424	not collected	2016-07-03	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160512		SUB5109424	not collected	2016-07-03	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160513		SUB5109424	not collected	2016-07-03	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160514		SUB5109424	not collected	2016-07-03	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160515		SUB5109424	not collected	2016-07-03	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160516		SUB5109424	not collected	2016-07-03	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160517		SUB5109424	not collected	2016-07-03	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160518		SUB5109424	not collected	2016-07-03	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160519		SUB5109424	not collected	2016-07-03	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160520		SUB5109424	not collected	2016-07-09	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160521		SUB5109424	not collected	2016-07-09	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160522		SUB5109424	not collected	2016-07-09	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160523		SUB5109424	not collected	2016-07-09	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160524		SUB5109424	not collected	2016-07-09	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160525		SUB5109424	not collected	2016-07-09	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160526		SUB5109424	not collected	2016-07-09	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160527		SUB5109424	not collected	2016-07-09	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160528		SUB5109424	not collected	2016-07-09	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160529		SUB5109424	not collected	2016-07-09	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160530		SUB5109424	not collected	2016-07-09	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160531		SUB5109424	not collected	2016-07-09	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160534		SUB5109424	not collected	2016-04-22	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160535		SUB5109424	not collected	2016-04-22	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160536		SUB5109424	not collected	2016-04-22	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160537		SUB5109424	not collected	2016-04-22	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160538		SUB5109424	not collected	2016-04-22	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160539		SUB5109424	not collected	2016-04-22	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160540		SUB5109424	not collected	2016-04-22	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160541		SUB5109424	not collected	2016-04-22	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160542		SUB5109424	not collected	2016-04-22	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160543		SUB5109424	not collected	2016-04-22	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160544		SUB5109424	not collected	2016-04-22	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160545		SUB5109424	not collected	2016-04-22	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160546		SUB5109424	not collected	2016-04-29	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160547		SUB5109424	not collected	2016-04-29	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160548		SUB5109424	not collected	2016-04-29	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160550		SUB5109424	not collected	2016-04-29	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160551		SUB5109424	not collected	2016-04-29	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160552		SUB5109424	not collected	2016-04-29	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160553		SUB5109424	not collected	2016-04-29	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160554		SUB5109424	not collected	2016-04-29	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160555		SUB5109424	not collected	2016-04-29	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160556		SUB5109424	not collected	2016-04-29	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160557		SUB5109424	not collected	2016-04-29	not collected	not collected	not collected	Brown Lane Hollis NH	not collected	not collected	sample	libB
oro160558		SUB5109424	not collected	2016-05-09	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160559		SUB5109424	not collected	2016-05-09	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160560		SUB5109424	not collected	2016-05-09	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160561		SUB5109424	not collected	2016-05-09	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160562		SUB5109424	not collected	2016-05-09	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160563		SUB5109424	not collected	2016-05-09	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
oro160564		SUB5109424	not collected	2016-05-09	not collected	not collected	not collected	Maple Hill Hollis NH	not collected	not collected	sample	libB
