Comparison,Z,P.unadj,P.adj
vsearch-basic - vsearch-extra,23.5087820327593,3.31679281773435e-122,1.19404541438437e-120
deblur-basic - vsearch-extra,22.6884261808686,5.82861694725868e-114,1.04915105050656e-112
dada2-basic - vsearch-extra,22.0486307028439,9.84578766982503e-108,1.181494520379e-106
vsearch-extra - vsearch-standard,-21.3842166987473,1.8740709155395e-101,1.68666382398555e-100
deblur-extra - vsearch-basic,-17.6969471629945,4.42661696656276e-70,3.18716421592518e-69
deblur-standard - vsearch-extra,17.6342285758096,1.34519526362477e-69,8.07117158174864e-69
dada2-standard - vsearch-extra,17.4592973388394,2.92512382545477e-68,1.50434939594817e-67
deblur-basic - deblur-extra,17.0529569480939,3.3228939049552e-65,1.49530225722984e-64
dada2-basic - deblur-extra,16.2810892818496,1.34454163947015e-59,5.37816655788058e-59
deblur-extra - vsearch-standard,-15.6329977389892,4.33900437242704e-55,1.56204157407373e-54
dada2-extra - vsearch-basic,-12.7224279444565,4.43851001121619e-37,1.45260327639803e-36
dada2-extra - deblur-basic,-12.1776418891774,4.08934959312963e-34,1.22680487793889e-33
deblur-extra - deblur-standard,-12.1556895731703,5.35083772094914e-34,1.4817704458013e-33
dada2-standard - deblur-extra,11.8415463823034,2.38023300522164e-32,6.12059915628421e-32
dada2-basic - dada2-extra,11.27440980147,1.75551910374069e-29,4.21324584897765e-29
dada2-extra - vsearch-extra,10.66682346573,1.4551627427986e-26,3.27411617129684e-26
dada2-extra - vsearch-standard,-10.608704294063,2.7148771600203e-26,5.74915163298417e-26
dada2-extra - deblur-standard,-7.18456330502891,6.74223369886476e-13,1.34844673977295e-12
dada2-extra - dada2-standard,-6.74393836616816,1.54149951045184e-11,2.92073591454033e-11
dada2-standard - vsearch-basic,-5.96138592942452,2.50107484273978e-09,4.50193471693161e-09
dada2-standard - deblur-basic,-5.5852022828109,2.3342835238004e-08,4.00162889794354e-08
dada2-extra - deblur-extra,5.24780330316298,1.53923507980531e-07,2.5187483124087e-07
deblur-standard - vsearch-basic,-5.20064369702737,1.98599503683368e-07,3.1085139706962e-07
deblur-extra - vsearch-extra,5.1451930876886,2.67245787975678e-07,4.00868681963518e-07
deblur-basic - deblur-standard,4.8553013558496,1.20203799163221e-06,1.73093470795038e-06
dada2-basic - dada2-standard,4.51431790498137,6.35208730807581e-06,8.79519781118189e-06
dada2-standard - vsearch-standard,-3.84478237147022,0.000120659473902955,0.000160879298537273
dada2-basic - deblur-standard,3.79035623453318,0.000150431381973494,0.000193411776823063
deblur-standard - vsearch-standard,-3.13732023899263,0.00170499789686404,0.00211654911334847
vsearch-basic - vsearch-standard,2.12463715763247,0.0336169008534782,0.0403402810241738
deblur-basic - vsearch-standard,1.84387094594937,0.0652019502228376,0.0757183938071662
dada2-basic - vsearch-basic,-1.44995391772798,0.147071370203216,0.165455291478618
dada2-basic - deblur-basic,-1.18645220503432,0.235443765684448,0.256847744383034
dada2-basic - vsearch-standard,0.673750961959343,0.50046965615121,0.529909047689517
dada2-standard - deblur-standard,-0.608679137686671,0.542737137879752,0.558243913247745
deblur-basic - vsearch-basic,-0.226771022629064,0.820601797314175,0.820601797314175
