Comparison,Z,P.unadj,P.adj
dada2-basic - vsearch-extra,10.8333721827662,2.39181383072788e-27,8.61052979062039e-26
dada2-standard - vsearch-extra,9.32168590530743,1.14506150751271e-20,2.06111071352288e-19
dada2-basic - deblur-extra,8.61915601108986,6.74494054873399e-18,8.09392865848079e-17
dada2-basic - vsearch-standard,8.18027982711115,2.83185473331761e-16,2.54866925998585e-15
dada2-extra - vsearch-extra,7.75015108568553,9.17832782021406e-15,5.50699669212844e-14
dada2-basic - vsearch-basic,7.76563028878287,8.1240204897191e-15,5.84929475259775e-14
dada2-basic - deblur-standard,7.35625961717794,1.89135002919896e-13,9.72694300730891e-13
dada2-standard - deblur-extra,7.15838693941857,8.16318717600475e-13,3.67343422920214e-12
dada2-standard - vsearch-standard,6.6741267122035,2.4870866292587e-11,9.94834651703481e-11
dada2-standard - vsearch-basic,6.26064720750087,3.83382971124778e-10,1.3801786960492e-09
dada2-basic - deblur-basic,6.14339495276932,8.07760997445893e-10,2.64358144618656e-09
dada2-standard - deblur-standard,5.89794912147376,3.68047415357017e-09,1.10414224607105e-08
dada2-extra - deblur-extra,5.63511954831525,1.7493693902312e-08,4.84440754217872e-08
dada2-extra - vsearch-standard,5.10366606334138,3.33135912080689e-07,8.56635202493201e-07
dada2-standard - deblur-basic,4.68339931218519,2.82156084174861e-06,6.34851189393436e-06
dada2-extra - vsearch-basic,4.69066152810477,2.72323142787328e-06,6.53575542689588e-06
deblur-basic - vsearch-extra,4.44072357232188,8.96569029823298e-06,1.89861676903757e-05
dada2-extra - deblur-standard,4.37512575778962,1.21362490549414e-05,2.42724981098827e-05
deblur-standard - vsearch-extra,3.18615633922359,0.00144176663442531,0.00273176835996375
dada2-extra - deblur-basic,3.15682557600836,0.00159496721540562,0.00287094098773011
vsearch-basic - vsearch-extra,3.09841266561501,0.00194560304905335,0.00333531951266289
dada2-basic - dada2-extra,3.02294266151384,0.00250329669419805,0.00409630368141499
vsearch-extra - vsearch-standard,-2.68142142463227,0.00733101286631716,0.0114746288342356
deblur-basic - deblur-extra,2.4531417264227,0.0141614530836568,0.0212421796254852
deblur-extra - vsearch-extra,1.9101924453244,0.0561084395120457,0.0807961528973459
deblur-basic - vsearch-standard,1.83208019433628,0.0669394736596646,0.0926854250672279
dada2-extra - dada2-standard,-1.54769237214453,0.121696379470627,0.16226183929417
dada2-basic - dada2-standard,1.47259295923326,0.140860824441046,0.181106774281345
deblur-basic - vsearch-basic,1.42564747807867,0.153970124211583,0.191135326607483
deblur-extra - deblur-standard,-1.23977742881994,0.215057728927411,0.258069274712893
deblur-basic - deblur-standard,1.21016556391676,0.226215369014031,0.262701718855004
deblur-extra - vsearch-basic,-1.09607384467183,0.273046459715909,0.307177267180397
deblur-extra - vsearch-standard,-0.691235434063261,0.48941759943491,0.533910108474448
deblur-standard - vsearch-standard,0.584653367590801,0.558780815563958,0.591650275303015
vsearch-basic - vsearch-standard,0.417507781750034,0.676307033595151,0.69563009169787
deblur-standard - vsearch-basic,0.179570645961194,0.857489651168461,0.857489651168461
