Comparison,Z,P.unadj,P.adj
deblur-basic - vsearch-extra,3.92573576438506,8.64650325147128e-05,0.00155637058526483
vsearch-basic - vsearch-extra,3.96078697656707,7.47031542833008e-05,0.00268931355419883
dada2-extra - deblur-basic,-2.97935303547081,0.00288857758786898,0.0259971982908209
dada2-extra - vsearch-basic,-3.01440424765282,0.00257484473449288,0.0308981368139145
deblur-basic - deblur-extra,2.5762640953777,0.00998743308263702,0.0599245984958221
deblur-extra - vsearch-basic,-2.61131530755971,0.00901946918677761,0.0649401781447988
dada2-basic - vsearch-extra,2.15564954919358,0.0311110403910248,0.124444161564099
vsearch-basic - vsearch-standard,1.98039348828354,0.0476593310875742,0.131979686088667
deblur-basic - vsearch-standard,1.94534227610153,0.0517337971439533,0.133029764084451
deblur-basic - deblur-standard,2.17317515528459,0.0297671369389441,0.133952116225248
dada2-standard - vsearch-extra,1.91029106391952,0.0560957477045893,0.134629794491014
deblur-standard - vsearch-basic,-2.2082263674666,0.027228497218538,0.140032271409624
vsearch-extra - vsearch-standard,-1.98039348828354,0.0476593310875742,0.142977993262723
dada2-standard - deblur-basic,-2.01544470046555,0.0438580747674137,0.143535517420627
dada2-standard - vsearch-basic,-2.05049591264756,0.0403160622455795,0.145137824084086
deblur-standard - vsearch-extra,1.75256060910047,0.0796774577245355,0.159354915449071
dada2-basic - vsearch-basic,-1.80513742737349,0.0710531795654279,0.159869654022213
dada2-basic - deblur-basic,-1.77008621519148,0.0767127795455831,0.162450591978882
deblur-extra - vsearch-extra,1.34947166900737,0.177185514283676,0.335719921800648
dada2-basic - dada2-extra,1.20926682027933,0.226560353642163,0.407808636555893
dada2-extra - vsearch-standard,-1.03401075936928,0.301131133323764,0.516224799983595
dada2-extra - vsearch-extra,0.946382728914256,0.343953411237173,0.538361861066879
dada2-extra - dada2-standard,-0.963908335005261,0.335091884674698,0.548332174922233
dada2-basic - deblur-extra,0.806177880186218,0.42014029103064,0.605002019084122
dada2-extra - deblur-standard,-0.806177880186218,0.42014029103064,0.63021043654596
deblur-extra - vsearch-standard,-0.630921819276171,0.528091644443013,0.731203815382634
dada2-standard - deblur-extra,0.560819394912152,0.574920663602226,0.766560884802969
dada2-extra - deblur-extra,-0.403088940093109,0.68688279655969,0.824259355871628
dada2-basic - deblur-standard,0.403088940093109,0.68688279655969,0.852682092280994
deblur-extra - deblur-standard,-0.403088940093109,0.68688279655969,0.883135024148173
deblur-standard - vsearch-standard,-0.227832879183062,0.81977616491638,0.922248185530927
dada2-standard - deblur-standard,0.157730454819043,0.874669201405261,0.926120330899688
dada2-basic - dada2-standard,0.245358485274066,0.806178870618294,0.936207720718019
dada2-basic - vsearch-standard,0.175256060910047,0.860878435669274,0.939140111639208
dada2-standard - vsearch-standard,-0.070102424364019,0.944112137088482,0.971086769576724
deblur-basic - vsearch-basic,-0.0350512121820095,0.972038904521699,0.972038904521699
