SeqID1,SeqID2,betadistance,Method,Filt,BetaType,RareType,LegendLabel
libC,libD,0.977212971078002,vsearch,basic,dice,unrarefied,dice - basic
libA,libB,0.470664954655289,vsearch,extra,bray,unrarefied,bray - extra
libA,libC,0.265357950737265,vsearch,extra,bray,unrarefied,bray - extra
libA,libD,0.781778115810072,vsearch,extra,bray,unrarefied,bray - extra
libB,libC,0.451681543877294,vsearch,extra,bray,unrarefied,bray - extra
libB,libD,0.537000433881309,vsearch,extra,bray,unrarefied,bray - extra
libC,libD,0.75693474778614,vsearch,extra,bray,unrarefied,bray - extra
libA,libB,0.470618026776505,vsearch,standard,bray,unrarefied,bray - standard
libA,libC,0.265557834772724,vsearch,standard,bray,unrarefied,bray - standard
libA,libD,0.781649844781055,vsearch,standard,bray,unrarefied,bray - standard
libB,libC,0.451805243915834,vsearch,standard,bray,unrarefied,bray - standard
libB,libD,0.537071032775097,vsearch,standard,bray,unrarefied,bray - standard
libC,libD,0.756904492910796,vsearch,standard,bray,unrarefied,bray - standard
libA,libB,0.472192585136722,vsearch,basic,bray,unrarefied,bray - basic
libA,libC,0.267550283275045,vsearch,basic,bray,unrarefied,bray - basic
libA,libD,0.782254137698757,vsearch,basic,bray,unrarefied,bray - basic
libB,libC,0.453455229227482,vsearch,basic,bray,unrarefied,bray - basic
libB,libD,0.538405036317602,vsearch,basic,bray,unrarefied,bray - basic
libC,libD,0.75758305537828,vsearch,basic,bray,unrarefied,bray - basic
libA,libB,0,dada2,extra,dice,unrarefied,dice - extra
libA,libC,0,dada2,extra,dice,unrarefied,dice - extra
libA,libD,0,dada2,extra,dice,unrarefied,dice - extra
libB,libC,0,dada2,extra,dice,unrarefied,dice - extra
libB,libD,0,dada2,extra,dice,unrarefied,dice - extra
libC,libD,0,dada2,extra,dice,unrarefied,dice - extra
libA,libB,0.142857142857143,dada2,standard,dice,unrarefied,dice - standard
libA,libC,0.142857142857143,dada2,standard,dice,unrarefied,dice - standard
libA,libD,0.225806451612903,dada2,standard,dice,unrarefied,dice - standard
libB,libC,0.166666666666667,dada2,standard,dice,unrarefied,dice - standard
libB,libD,0.121212121212121,dada2,standard,dice,unrarefied,dice - standard
libC,libD,0.181818181818182,dada2,standard,dice,unrarefied,dice - standard
libA,libB,0.225806451612903,dada2,basic,dice,unrarefied,dice - basic
libA,libC,0.213114754098361,dada2,basic,dice,unrarefied,dice - basic
libA,libD,0.36,dada2,basic,dice,unrarefied,dice - basic
libB,libC,0.206349206349206,dada2,basic,dice,unrarefied,dice - basic
libB,libD,0.246753246753247,dada2,basic,dice,unrarefied,dice - basic
libC,libD,0.289473684210526,dada2,basic,dice,unrarefied,dice - basic
libA,libB,0.411855173501025,dada2,extra,bray,unrarefied,bray - extra
libA,libC,0.108330965399844,dada2,extra,bray,unrarefied,bray - extra
libA,libD,0.723692136525377,dada2,extra,bray,unrarefied,bray - extra
libB,libC,0.317698873436077,dada2,extra,bray,unrarefied,bray - extra
libB,libD,0.444247858391849,dada2,extra,bray,unrarefied,bray - extra
libC,libD,0.667708349091268,dada2,extra,bray,unrarefied,bray - extra
libA,libB,0.411866830244089,dada2,standard,bray,unrarefied,bray - standard
libA,libC,0.108435077442257,dada2,standard,bray,unrarefied,bray - standard
libA,libD,0.723641166244245,dada2,standard,bray,unrarefied,bray - standard
libB,libC,0.317697095808432,dada2,standard,bray,unrarefied,bray - standard
libB,libD,0.444166156216389,dada2,standard,bray,unrarefied,bray - standard
libC,libD,0.667619829608201,dada2,standard,bray,unrarefied,bray - standard
libA,libB,0.412370755454369,dada2,basic,bray,unrarefied,bray - basic
libA,libC,0.109580801831425,dada2,basic,bray,unrarefied,bray - basic
libA,libD,0.723767242250902,dada2,basic,bray,unrarefied,bray - basic
libB,libC,0.317720497685677,dada2,basic,bray,unrarefied,bray - basic
libB,libD,0.444201005357497,dada2,basic,bray,unrarefied,bray - basic
libC,libD,0.667642570849848,dada2,basic,bray,unrarefied,bray - basic
libA,libB,0.04,deblur,extra,dice,unrarefied,dice - extra
libA,libC,0.04,deblur,extra,dice,unrarefied,dice - extra
libA,libD,0.04,deblur,extra,dice,unrarefied,dice - extra
libB,libC,0,deblur,extra,dice,unrarefied,dice - extra
libB,libD,0,deblur,extra,dice,unrarefied,dice - extra
libC,libD,0,deblur,extra,dice,unrarefied,dice - extra
libA,libB,0.137931034482759,deblur,standard,dice,unrarefied,dice - standard
libA,libC,0.157894736842105,deblur,standard,dice,unrarefied,dice - standard
libA,libD,0.21875,deblur,standard,dice,unrarefied,dice - standard
libB,libC,0.127272727272727,deblur,standard,dice,unrarefied,dice - standard
libB,libD,0.129032258064516,deblur,standard,dice,unrarefied,dice - standard
libC,libD,0.213114754098361,deblur,standard,dice,unrarefied,dice - standard
libA,libB,0.137931034482759,deblur,basic,dice,unrarefied,dice - basic
libA,libC,0.157894736842105,deblur,basic,dice,unrarefied,dice - basic
libA,libD,0.264705882352941,deblur,basic,dice,unrarefied,dice - basic
libB,libC,0.127272727272727,deblur,basic,dice,unrarefied,dice - basic
libB,libD,0.181818181818182,deblur,basic,dice,unrarefied,dice - basic
libC,libD,0.261538461538462,deblur,basic,dice,unrarefied,dice - basic
libA,libB,0.463637172721369,deblur,extra,bray,unrarefied,bray - extra
libA,libC,0.168758588629548,deblur,extra,bray,unrarefied,bray - extra
