Comparison,Z,P.unadj,P.adj
deblur-extra - vsearch-basic,-3.5286567914192,0.000417674437977857,0.00501209325573429
dada2-extra - vsearch-basic,-3.74814262055054,0.000178148949721843,0.00641336218998634
vsearch-basic - vsearch-extra,3.5286567914192,0.000417674437977857,0.00751813988360143
dada2-extra - deblur-basic,-3.30917096228787,0.000935726803107855,0.00842154122797069
deblur-basic - deblur-extra,3.08968513315653,0.00200368787847243,0.0120221272708346
dada2-extra - vsearch-standard,-3.03903455720314,0.0023733762814561,0.0122059351617742
deblur-basic - vsearch-extra,3.08968513315653,0.00200368787847243,0.0144265527250015
deblur-extra - vsearch-standard,-2.8195487280718,0.00480912286788318,0.0192364914715327
vsearch-extra - vsearch-standard,-2.8195487280718,0.00480912286788318,0.0216410529054743
dada2-standard - vsearch-basic,-2.39746059512692,0.0165091565811481,0.059432963692133
dada2-extra - deblur-standard,-2.19485829131338,0.0281737645171911,0.0922050475108071
dada2-standard - deblur-basic,-1.95848893686425,0.0501726679409124,0.12041440305819
deblur-extra - deblur-standard,-1.97537246218204,0.048225895495731,0.124009445560451
dada2-basic - vsearch-basic,-2.02602303813543,0.0427624238493928,0.128287271548178
deblur-standard - vsearch-extra,1.97537246218204,0.048225895495731,0.133548633680486
dada2-basic - dada2-extra,1.72211958241511,0.0850478584457338,0.191357681502901
dada2-standard - vsearch-standard,-1.68835253177952,0.0913435767409223,0.193433456627835
dada2-basic - deblur-basic,-1.58705137987275,0.112501008320721,0.225002016641441
dada2-basic - deblur-extra,1.50263375328378,0.132933514394008,0.227886024675442
deblur-standard - vsearch-basic,-1.55328432923716,0.120355222374727,0.228041473973168
dada2-basic - vsearch-extra,1.50263375328378,0.132933514394008,0.239280325909214
dada2-extra - dada2-standard,-1.35068202542362,0.176797312562296,0.289304693283757
dada2-basic - vsearch-standard,-1.31691497478803,0.187867126383405,0.294052893469678
deblur-basic - deblur-standard,1.11431267097449,0.265145072956645,0.367123947170739
dada2-standard - deblur-extra,1.13119619629228,0.257972522552648,0.371480432475813
dada2-standard - vsearch-extra,1.13119619629228,0.257972522552648,0.386958783828972
dada2-standard - deblur-standard,-0.844176265889762,0.398570915128378,0.512448319450771
deblur-standard - vsearch-standard,-0.844176265889762,0.398570915128378,0.531427886837837
vsearch-basic - vsearch-standard,0.7091080633474,0.478257419543518,0.593698865640229
dada2-basic - deblur-standard,-0.472738708898267,0.636399606422503,0.763679527707004
deblur-basic - vsearch-basic,-0.438971658262676,0.660682072542789,0.767243697146465
dada2-basic - dada2-standard,0.371437556991495,0.710311656696858,0.799100613783966
dada2-extra - deblur-extra,-0.219485829131338,0.826271617473071,0.849879377972301
deblur-basic - vsearch-standard,0.270136405084724,0.787055315650849,0.858605798891835
dada2-extra - vsearch-extra,-0.219485829131338,0.826271617473071,0.874875830265604
deblur-extra - vsearch-extra,0,1,1
