Dataset,length,lengthCounts,nObs,pObs
derep,244,37,1841946,2.00874509893341e-05
derep,245,85,1841946,4.61468468673892e-05
derep,246,85,1841946,4.61468468673892e-05
derep,247,53,1841946,2.87739162820191e-05
derep,248,58,1841946,3.14884366859832e-05
derep,249,96,1841946,5.21187917561101e-05
derep,250,53,1841946,2.87739162820191e-05
derep,251,57,1841946,3.09455326051904e-05
derep,252,79,1841946,4.28894223826323e-05
derep,253,53,1841946,2.87739162820191e-05
derep,254,45,1841946,2.44306836356766e-05
derep,255,112,1841946,6.08052570487951e-05
derep,256,52,1841946,2.82310122012263e-05
derep,257,66,1841946,3.58316693323257e-05
derep,258,172,1841946,9.33795018963639e-05
derep,259,92,1841946,4.99471754329389e-05
derep,260,89,1841946,4.83184631905604e-05
derep,261,141,1841946,7.65494753917867e-05
derep,262,79,1841946,4.28894223826323e-05
derep,263,55,1841946,2.98597244436048e-05
derep,264,159,1841946,8.63217488460574e-05
derep,265,79,1841946,4.28894223826323e-05
derep,266,76,1841946,4.12607101402538e-05
derep,267,146,1841946,7.92639957957508e-05
derep,268,97,1841946,5.26616958369029e-05
derep,269,107,1841946,5.80907366448311e-05
derep,270,169,1841946,9.17507896539855e-05
derep,271,110,1841946,5.97194488872095e-05
derep,272,101,1841946,5.48333121600742e-05
derep,273,161,1841946,8.7407557007643e-05
derep,274,86,1841946,4.6689750948182e-05
derep,275,123,1841946,6.67772019375161e-05
derep,276,203,1841946,0.000110209528400941
derep,277,89,1841946,4.83184631905604e-05
derep,278,103,1841946,5.59191203216598e-05
derep,279,183,1841946,9.93514467850849e-05
derep,280,103,1841946,5.59191203216598e-05
derep,281,122,1841946,6.62342978567233e-05
derep,282,156,1841946,8.46930366036789e-05
derep,283,136,1841946,7.38349549878227e-05
derep,284,112,1841946,6.08052570487951e-05
derep,285,139,1841946,7.54636672302011e-05
derep,286,99,1841946,5.37475039984886e-05
derep,287,85,1841946,4.61468468673892e-05
derep,288,131,1841946,7.11204345838586e-05
derep,289,105,1841946,5.70049284832454e-05
derep,290,79,1841946,4.28894223826323e-05
derep,291,159,1841946,8.63217488460574e-05
derep,292,84,1841946,4.56039427865963e-05
derep,293,114,1841946,6.18910652103808e-05
derep,294,175,1841946,9.50082141387424e-05
derep,295,99,1841946,5.37475039984886e-05
derep,296,95,1841946,5.15758876753173e-05
derep,297,202,1841946,0.000109666624320148
derep,298,82,1841946,4.45181346250107e-05
derep,299,78,1841946,4.23465183018395e-05
derep,300,170,1841946,9.22936937347783e-05
derep,301,90,1841946,4.88613672713532e-05
derep,302,73,1841946,3.96319978978754e-05
derep,303,216,1841946,0.000117267281451248
derep,304,125,1841946,6.78630100991017e-05
derep,305,138,1841946,7.49207631494083e-05
derep,306,249,1841946,0.000135183116117411
derep,307,6482,1841946,0.00351910425169902
derep,308,144,1841946,7.81781876341652e-05
derep,309,144,1841946,7.81781876341652e-05
derep,310,109,1841946,5.91765448064167e-05
derep,311,86,1841946,4.6689750948182e-05
derep,312,212,1841946,0.000115095665128076
derep,313,193,1841946,0.000104780487593013
derep,314,88,1841946,4.77755591097676e-05
derep,315,1111,1841946,0.000603166433760816
derep,316,73,1841946,3.96319978978754e-05
derep,317,86,1841946,4.6689750948182e-05
derep,318,214,1841946,0.000116181473289662
derep,319,104,1841946,5.64620244024526e-05
derep,320,107,1841946,5.80907366448311e-05
derep,321,126,1841946,6.84059141798945e-05
derep,322,91,1841946,4.9404271352146e-05
derep,323,80,1841946,4.34323264634251e-05
derep,324,220,1841946,0.000119438897774419
derep,325,433,1841946,0.000235077466983288
derep,326,94,1841946,5.10329835945245e-05
derep,327,163,1841946,8.84933651692286e-05
derep,328,104,1841946,5.64620244024526e-05
derep,329,85,1841946,4.61468468673892e-05
derep,330,186,1841946,0.000100980159027463
derep,331,85,1841946,4.61468468673892e-05
derep,332,127,1841946,6.89488182606873e-05
derep,333,204,1841946,0.000110752432481734
derep,334,82,1841946,4.45181346250107e-05
derep,335,81,1841946,4.39752305442179e-05
derep,336,191,1841946,0.000103694679431427
derep,337,82,1841946,4.45181346250107e-05
derep,338,82,1841946,4.45181346250107e-05
derep,339,182,1841946,9.88085427042921e-05
derep,340,103,1841946,5.59191203216598e-05
derep,341,76,1841946,4.12607101402538e-05
derep,342,200,1841946,0.000108580816158563
derep,343,71,1841946,3.85461897362898e-05
derep,344,115,1841946,6.24339692911736e-05
derep,345,240,1841946,0.000130296979390275
derep,346,89,1841946,4.83184631905604e-05
derep,347,79,1841946,4.28894223826323e-05
derep,348,172,1841946,9.33795018963639e-05
derep,349,81,1841946,4.39752305442179e-05
derep,350,143,1841946,7.76352835533724e-05
