SeqID,StudyID,SampleType,Library,WOY,DNAplate,Site,Date,MonthStart
negoro15D04,negoro,ncontrol,libB,ncontrol,15,ncontrol,ncontrol,ncontrol
negoro15E05,negoro,ncontrol,libB,ncontrol,15,ncontrol,ncontrol,ncontrol
negoro15F06,negoro,ncontrol,libB,ncontrol,15,ncontrol,ncontrol,ncontrol
negoro15G07,negoro,ncontrol,libB,ncontrol,15,ncontrol,ncontrol,ncontrol
negoro15H08,negoro,ncontrol,libB,ncontrol,15,ncontrol,ncontrol,ncontrol
negoro16B02,negoro,ncontrol,libB,ncontrol,16,ncontrol,ncontrol,ncontrol
negoro16C03,negoro,ncontrol,libB,ncontrol,16,ncontrol,ncontrol,ncontrol
negoro16D04,negoro,ncontrol,libB,ncontrol,16,ncontrol,ncontrol,ncontrol
negoro16E05,negoro,ncontrol,libB,ncontrol,16,ncontrol,ncontrol,ncontrol
negoro16F06,negoro,ncontrol,libB,ncontrol,16,ncontrol,ncontrol,ncontrol
negoro30B02,negoro,ncontrol,libC,ncontrol,30,ncontrol,ncontrol,ncontrol
negoro30D04,negoro,ncontrol,libC,ncontrol,30,ncontrol,ncontrol,ncontrol
negoro30E05,negoro,ncontrol,libC,ncontrol,30,ncontrol,ncontrol,ncontrol
negoro31D04,negoro,ncontrol,libC,ncontrol,31,ncontrol,ncontrol,ncontrol
negoro31G07,negoro,ncontrol,libC,ncontrol,31,ncontrol,ncontrol,ncontrol
negoro32A01,negoro,ncontrol,libC,ncontrol,32,ncontrol,ncontrol,ncontrol
negoro32B02,negoro,ncontrol,libC,ncontrol,32,ncontrol,ncontrol,ncontrol
negoro32D04,negoro,ncontrol,libC,ncontrol,32,ncontrol,ncontrol,ncontrol
negoro32E05,negoro,ncontrol,libC,ncontrol,32,ncontrol,ncontrol,ncontrol
negoro32F06,negoro,ncontrol,libC,ncontrol,32,ncontrol,ncontrol,ncontrol
negoro33B02,negoro,ncontrol,libC,ncontrol,33,ncontrol,ncontrol,ncontrol
negoro33C03,negoro,ncontrol,libC,ncontrol,33,ncontrol,ncontrol,ncontrol
negoro33D04,negoro,ncontrol,libC,ncontrol,33,ncontrol,ncontrol,ncontrol
negoro33E05,negoro,ncontrol,libC,ncontrol,33,ncontrol,ncontrol,ncontrol
negoro33F06,negoro,ncontrol,libC,ncontrol,33,ncontrol,ncontrol,ncontrol
negoro33G07,negoro,ncontrol,libC,ncontrol,33,ncontrol,ncontrol,ncontrol
negoro34A01,negoro,ncontrol,libC,ncontrol,34,ncontrol,ncontrol,ncontrol
negoro34B02,negoro,ncontrol,libC,ncontrol,34,ncontrol,ncontrol,ncontrol
negoro34D04,negoro,ncontrol,libC,ncontrol,34,ncontrol,ncontrol,ncontrol
negoro34E05,negoro,ncontrol,libC,ncontrol,34,ncontrol,ncontrol,ncontrol
negoro34F06,negoro,ncontrol,libC,ncontrol,34,ncontrol,ncontrol,ncontrol
negoro34G07,negoro,ncontrol,libC,ncontrol,34,ncontrol,ncontrol,ncontrol
negoro34H08,negoro,ncontrol,libC,ncontrol,34,ncontrol,ncontrol,ncontrol
negoro35D03,negoro,ncontrol,libC,ncontrol,35,ncontrol,ncontrol,ncontrol
negoro35D04,negoro,ncontrol,libC,ncontrol,35,ncontrol,ncontrol,ncontrol
negoro35F06,negoro,ncontrol,libC,ncontrol,35,ncontrol,ncontrol,ncontrol
negoro37B02,negoro,ncontrol,libD,ncontrol,37,ncontrol,ncontrol,ncontrol
negoro37F08,negoro,ncontrol,libD,ncontrol,37,ncontrol,ncontrol,ncontrol
negoro38A01,negoro,ncontrol,libD,ncontrol,38,ncontrol,ncontrol,ncontrol
negoro38B02,negoro,ncontrol,libD,ncontrol,38,ncontrol,ncontrol,ncontrol
negoro38D04,negoro,ncontrol,libD,ncontrol,38,ncontrol,ncontrol,ncontrol
negoro38E05,negoro,ncontrol,libD,ncontrol,38,ncontrol,ncontrol,ncontrol
negoro38F06,negoro,ncontrol,libD,ncontrol,38,ncontrol,ncontrol,ncontrol
negoro38G07,negoro,ncontrol,libD,ncontrol,38,ncontrol,ncontrol,ncontrol
negoro39A01,negoro,ncontrol,libD,ncontrol,39,ncontrol,ncontrol,ncontrol
negoro39B02,negoro,ncontrol,libD,ncontrol,39,ncontrol,ncontrol,ncontrol
negoro39D04,negoro,ncontrol,libD,ncontrol,39,ncontrol,ncontrol,ncontrol
negoro39E05,negoro,ncontrol,libD,ncontrol,39,ncontrol,ncontrol,ncontrol
negoro39F06,negoro,ncontrol,libD,ncontrol,39,ncontrol,ncontrol,ncontrol
negoro40B02,negoro,ncontrol,libD,ncontrol,40,ncontrol,ncontrol,ncontrol
negoro40C03,negoro,ncontrol,libD,ncontrol,40,ncontrol,ncontrol,ncontrol
negoro40D04,negoro,ncontrol,libD,ncontrol,40,ncontrol,ncontrol,ncontrol
negoro40E05,negoro,ncontrol,libD,ncontrol,40,ncontrol,ncontrol,ncontrol
negoro40F06,negoro,ncontrol,libD,ncontrol,40,ncontrol,ncontrol,ncontrol
negoro40G07,negoro,ncontrol,libD,ncontrol,40,ncontrol,ncontrol,ncontrol
negoro40H08,negoro,ncontrol,libD,ncontrol,40,ncontrol,ncontrol,ncontrol
negoro40H09,negoro,ncontrol,libD,ncontrol,40,ncontrol,ncontrol,ncontrol
negoro40H10,negoro,ncontrol,libD,ncontrol,40,ncontrol,ncontrol,ncontrol
negoro40H11,negoro,ncontrol,libD,ncontrol,40,ncontrol,ncontrol,ncontrol
negoro43B02,negoro,ncontrol,libD,ncontrol,43,ncontrol,ncontrol,ncontrol
negoro43D04,negoro,ncontrol,libD,ncontrol,43,ncontrol,ncontrol,ncontrol
negoro43F06,negoro,ncontrol,libD,ncontrol,43,ncontrol,ncontrol,ncontrol
negoro43G07,negoro,ncontrol,libD,ncontrol,43,ncontrol,ncontrol,ncontrol
negoro45A01,negoro,ncontrol,libD,ncontrol,45,ncontrol,ncontrol,ncontrol
negoro45B02,negoro,ncontrol,libD,ncontrol,45,ncontrol,ncontrol,ncontrol
negoro45C03,negoro,ncontrol,libD,ncontrol,45,ncontrol,ncontrol,ncontrol
negoro45D04,negoro,ncontrol,libD,ncontrol,45,ncontrol,ncontrol,ncontrol
negoro45E05,negoro,ncontrol,libD,ncontrol,45,ncontrol,ncontrol,ncontrol
