SeqID StudyID SampleType Library
oro160567 oro16 sample libB
bri160568 bri16 sample libD
oro160568 oro16 sample libB
oro160569 oro16 sample libB
bri160570 bri16 sample libD
oro160570 oro16 sample libB
bri160571 bri16 sample libD
oro160571 oro16 sample libB
oro160572 oro16 sample libB
bri160572 bri16 sample libD
oro160573 oro16 sample libB
bri160573 bri16 sample libD
oro160574 oro16 sample libB
oro160575 oro16 sample libB
bri160575 bri16 sample libD
oro160576 oro16 sample libB
bri160576 bri16 sample libD
oro160577 oro16 sample libB
bri160577 bri16 sample libD
oro160578 oro16 sample libB
bri160579 bri16 sample libD
oro160579 oro16 sample libB
bri160580 bri16 sample libD
oro160580 oro16 sample libB
bri160581 bri16 sample libD
oro160581 oro16 sample libB
bri160582 bri16 sample libD
bri160583 bri16 sample libD
bri160584 bri16 sample libD
oro160584 oro16 sample libB
oro160585 oro16 sample libB
bri160585 bri16 sample libD
oro160586 oro16 sample libB
bri160586 bri16 sample libD
oro160587 oro16 sample libB
bri160587 bri16 sample libD
oro160588 oro16 sample libB
bri160588 bri16 sample libD
oro160589 oro16 sample libB
bri160589 bri16 sample libD
oro160590 oro16 sample libB
oro160591 oro16 sample libB
oro160592 oro16 sample libB
oro160593 oro16 sample libB
oro160594 oro16 sample libB
oro160595 oro16 sample libB
oro160596 oro16 sample libB
oro160597 oro16 sample libB
oro160598 oro16 sample libB
oro160599 oro16 sample libB
negoro05A01 negoro ncontrol libA
negoro05B03 negoro ncontrol libA
negoro05C03 negoro ncontrol libA
negoro05D04 negoro ncontrol libA
negoro05E05 negoro ncontrol libA
negoro05F06 negoro ncontrol libA
negoro05G07 negoro ncontrol libA
negoro05H08 negoro ncontrol libA
oro160600 oro16 sample libB
bri160600 bri16 sample libD
oro160601 oro16 sample libB
bri160601 bri16 sample libD
bri160602 bri16 sample libD
oro160603 oro16 sample libB
bri160604 bri16 sample libD
oro160604 oro16 sample libB
bri160605 bri16 sample libD
oro160605 oro16 sample libB
bri160606 bri16 sample libD
oro160606 oro16 sample libB
bri160607 bri16 sample libD
oro160607 oro16 sample libB
oro160608 oro16 sample libB
bri160608 bri16 sample libD
bri160609 bri16 sample libD
oro160609 oro16 sample libB
oro160610 oro16 sample libB
bri160610 bri16 sample libD
